department,course,description,unit,title
Manufacturing,AUTMFG 50664718,"Examine industrial automation and applications to various trades. Automation terminology, concepts and applications will be examined. Automated systems, components and devices will be reviewed. Robotics used in modern manufacturing plants will be compared and analyzed. Job duties and tasks associated with safety, inspection, testing, maintenance, repair and servicing will be the primary emphasis.",2,Automation for Apprentices
Manufacturing,AUTMFG 10628401,"Introductory study of PLC Programming overview (parts, principles of operation, size and applications), PLC components (I/O modules, specifications, CPU, memory, programming options), Number systems and codes (binary, decimal, hexadecimal, BCD, ASCII, binary arithmetic), Fundamentals of Logic (binary concept, AND, OR, NOT functions, Boolean algebra, logic gates, word level instructions), Basics of programming in RSLogix500 (memory organization, program scan, programming languages, instruction addressing, XIC, XIO, OTE instructions, creating ladder logic), PLC installation practices, editing, and troubleshooting (enclosures, electrical noise, grounding, voltages, program editing, program monitoring, preventive maintenance, troubleshooting, connecting to your PLC to your PC)",1,PLCs for Industrial Automation 1
ART 20815200,This course satisfies LAT Req,"Surveys the development of Prehistoric, Ancient through Medieval art and architecture found throughout Europe, the near East and Egypt. Emphasis is given to the form and meaning of a select group of artworks and buildings, their stylistic tendencies and respective movements in the history of art, and the socio-political and cultural contexts for these movements.",3,Art History: Ancient to Medieval
Manufacturing,AUTMFG 10628500,"This class is designed to give students the knowledge necessary to troubleshoot and maintain a SCADA (supervisory control and data acquisition) system. This includes control strategies, controllers and IO, as well as system software database connections and HMIs.",2,Introduction to HMI and SCADA Development
Manufacturing,AUTMFG 10628451,"Focuses on integration of a complete manufacturing cell. Typical components include programmable controllers, robot, sensors, drives, conveyors, pneumatics, hard automation, control wiring and vision. Students plan, wire, program, troubleshoot and develop documentation for the whole system.",4,Integration of Mechanisms and Controls 2
Manufacturing,AUTMFG 10628402,"Intermediate knowledge of programmable logic controller (PLC) installation, interfacing, operation, and programming in RSLogix500. Timer instructions (ON-delay, OFF-delay, RTO, cascading timers), Counter instructions (Counter-up, Counter-down, cascading counters, combining counter and timer functions), Data manipulation (Math instructions), Program control instructions (MCR, jump, subroutines, forcing, safety circuit, temporary end, fault routine), computer controlled machines and processes (communication fundamentals) RSLinx communications, Introduction to RSLogix5000 and ControlLogix programming).",1,PLCs for Industrial Automation 2
Manufacturing,AUTMFG 10628420,"The course introduces basic troubleshooting tools, methods and techniques. Students will learn about interpreting schematics, Boolean logic, truth tables, and number systems. The course uses software simulations and labs to introduce relays and relay ladder logic. Students apply common troubleshooting techniques and root cause analysis.",1,Introduction to Logic & Troubleshooting
ART 20815203,This course satisfies LAT Req,"In this course students explore different ways of manipulating form and space. Projects will introduce students to basic techniques such as modeling, construction and carving.",3,3-Dimensional Design
Manufacturing,AUTMFG 10628403,"Advanced programmable logic controller (PLC) installation, interfacing, operation, and programming (RSLogix5000). Students learn how to connect advanced PLCs in a typical industrial PLC network utilizing Ethernet, ControlNet, DeviceNet, RS232 and RIO communication paths. Data sharing and distributed PLC programming techniques along with fundamentals of touch panel programming, VFD integration and operation are studied.",2,Programmable Automation Controller 1
ART 20815201,This course satisfies LAT Req,"Design Fundamentals introduces students to the elements of art (line, texture, color, shape and value). Students will investigate how these elements can be manipulated using various principles of design to achieve different effects. Basic color theory will be covered.",3,Basic Design
ART 20815202,This course satisfies LAT Req,Color and Design provides involvement with practical and theoretical color problems while building knowledge of advanced design concepts.,3,Color & Design
ART 20815210,This course satisfies LAT Req,"Surveys the development of European and American art and architecture from the time of the early Renaissance in Italy through the first quarter of the 20th century. Emphasis is given to the form and meaning of a select group of artworks and buildings, their stylistic tendencies and respective movements in the history of art, and the socio-political and cultural contexts for these movements.",3,Art History: Renaissance to Modern
ART 20815211,This course satisfies LAT Req,"This course will present a broad survey of selected outstanding women artists from the 12th to the 20th century. The focus is on painting, sculpture and mixed media from the Medieval Era to the Modern Era, considering a variety of individual European and American artists and their works.",3,Art History: Women In Art
ART 20815214,This course satisfies LAT Req,"Introduces students to modern art’s most influential movements, focusing on European and American art produced between 1880-1950. Painting, sculpture, and photography will be the primary media considered for this time. The principal ideas of these movements will be discussed in relation to their wider intellectual, social, technological, and aesthetic context.",3,Modern Art Survey
ART 20815208,This course satisfies LAT Req,"Examines contemporary art trends, focusing on European and American art produced from 1950-the present. Artists’ motivations, intentions, and processes will be considered in relationship to general developments in contemporary art. Traditional media considered will include painting, sculpture, and photography. Recent innovations in media will also be recognized, such as installation, performance, and new technology.",3,Contemporary Art Survey
ART 20815220,This course satisfies LAT Req,"Continuation of life drawing with emphasis placed on expression, articulation, dramatic effect and refinement of technique.",3,Life Drawing 2
ART 20815218,This course satisfies LAT Req,"This course is designed for students who wish to pursue an individual portfolio building project. Students are expected to have experience with chosen artistic media, so they can rely on a certain level of competency as they pursue an independent project.  As students continue to develop technical skills, they will also focus on concepts and content as they build a portfolio.",3,Independent Projects in Studio Art
ART 20815221,This course satisfies LAT Req,"Continued emphasis on expression, articulation, and refinement of technique with increased attention to personalized direction.",3,Life Drawing 3
ART 20815205,This course satisfies LAT Req,"This is an introductory drawing class emphasizing sound craftsmanship and the study of basic freehand drawing from direct observation. Class topics include the study of perspective, proportion, composition, and properties of light and shade. Students will explore a variety of drawing media and techniques.",3,Drawing Fundamentals
ART 20815234,This course satisfies LAT Req,"This is a basic course in 35mm black-and-white photography featuring instruction in camera operation, film developing, printing and mounting techniques. Students provide their own cameras and film.",3,Photography
ART 20815215,This course satisfies LAT Req,Drawing 2 explores a variety of drawing media and techniques through projects that encourage students to consider subject/content relationships. Students will develop conceptualization skills that will prepare them for working on independent projects.,3,Drawing 2
ART 20815236,This course satisfies LAT Req,This course continues the exploration of photography as a fine art as presented in  Creative Photography. Further exploration of camera and Photoshop techniques intended to foster the understanding of photography as a means of artistic expression.,3,Advanced Creative Photography
ART 20815219,This course satisfies LAT Req,Life Drawing introduces students to drawing the figure in a variety of situations. Students will use different drawing media and techniques as they explore both descriptive and expressive ways to depicting the human figure. Includes study of human anatomy.,3,Life Drawing 1
ART 20815232,This course satisfies LAT Req,"A comprehensive course to introduce the tools and functions of four essential digital design programs. Learn to create and edit vector artwork in Adobe Illustrator, create and edit photographic content in Adobe Photoshop, develop 3-D forms with SketchUp, and build a website with Adobe Dreamweaver to display a portfolio of the art works and projects created. Out of class work time and reading and some writing is required in addition to in class instruction, work time and critique participation.",3,Digital Design Fundamentals
Applied Arts,ART 20815233,Students will work independently on digital photography projects under the supervision of an instructor.,3,Digital Photography Independent Study
ART 20815235,This course satisfies LAT Req,Reviews and expands digital camera and Photoshop techniques. Expression through photography as a fine art is developed through a series of problems stressing personal vision and mastery of the photographic media.,3,Creative Photography
Applied Arts,ART 20815227,This course allows students to continue to explore studio research in the areas of drawing or painting. An intermediate level of experience and familiarity of chosen media is assumed as students are required to produce advanced level work.,3,2D Studio Independent Study
ART 20815241,This course satisfies LAT Req,"Introduces students to the basic techniques of oil painting, with emphasis on composition and color. Students will paint from classroom still life arrangements for the first part of the course. Later in the semester, students are encouraged to develop paintings that explore personal themes.",3,Painting 1
ART 20815242,This course satisfies LAT Req,"Painting 2 is an intermediate level painting course emphasizing the development of conceptualization skills. Painting projects encourage students to respond to a general theme, subject, or concept by developing a unique and personal image. Students can respond to assignments by working in various paint media (oil, acrylic, watercolor, or collage).",3,Painting 2
ART 20815254,This course satisfies LAT Req,"Jewelry 2-Art Metal gives an introduction to silver smiting, chasing, repousse and advanced stone setting.",3,Jewelry 2
Applied Arts,ART 20815238,Students will work independently on creative photography projects under the supervision of an instructor.,3,Creative Photography Independent Study
ART 20815256,This course satisfies LAT Req,"Designed to increase the understanding of the technical aspects of metal fabrication for art-related endeavours.  Due to the technical nature of this class, the emphasis will be on technical concerns rather than on aesthetic concerns.  It is to be realized however, that technical aspects are but one consideration when creating art.",3,Art Metal Welding
ART 20815292,This course satisfies LAT Req,This is an introductory course in watercolor painting. Students will learn about the media and investigate various applications. There will be emphasis placed on composition and color as students develop paintings from both classroom still life arrangements and personal sources.,3,Watercolor 1
ART 20815253,This course satisfies LAT Req,"This course is an introduction to basic jewelry making techniques through technical demonstration and individual projects covering simple forming, fabricating, lost wax casting, cold forging and finishing techniques.",3,Jewelry 1
ART 20815239,This course satisfies LAT Req,"Provides an introduction to the photographic process through the use of digital cameras to produce images for presentations, the World Wide Web, and electronic publication. Covers basic principles of effective composition, light, exposure and control of motion and focus. Participants provide their own digital camera.",3,Digital Photography
Applied Arts,ART 20815293,Students will work independently on ceramics projects under the supervision of an instructor.  Instructor permission required.,3,Ceramics Independent Study
Applied Arts,ART 20815258,This is a continuation of the existing Art Metal Welding course to enable students to strengthen their skills and create more developed work.,3,Art Metal Welding Independent Study
ART 20815291,This course satisfies LAT Req,Ceramics 2 covers either the development of basic wheel throwing skills or advanced hand-building techniques. Students work with glaze development through both judicious testing and empirical formulas. Electric firing and raku firing will be explored.,3,Ceramics 2
ART 20815290,This course satisfies LAT Req,"Ceramics 1 introduces clay as an art medium through demonstration and experimentation with basic hand-building methods. It encourages individual involvement with the media and emphasizes personal expression and exploration of texture, form and surface decoration. This course covers electric and raku firing, relevant vocabulary and some of the technical aspects of clay.",3,Ceramics 1
ART 20815297,This course satisfies LAT Req,Continuation of Watercolor 1.,3,Watercolor 2
ART 20815296,This course satisfies LAT Req,"The class will focus on different firing techniques. Techniques covered would be Raku, sawdust firings, the use of saggars at different temperatures, vapor glazes and primitive pit kilns, as well as more traditional luster firings and other low temperature techniques. Surface treatments to pots that enhance the uniqueness  ",3,Ceramics Firing Techniques/Alternative Methods
ART 20815295,This course satisfies LAT Req,This course is a continuation of Sculpture 1.,3,Ceramics Sculpture 2
Applied Arts,ART 20815299,"Building upon Ceramic Firing Techniques 1, students will explore in depth various non-traditional firing techniques and the artistic and cultural history behind each technique. Firing techniques covered are Raku, sawdust firings, salt glazing, wood firing, the use of saggars at different temperatures, vapor glazes and primitive pit kilns, luster firings, majolica and other low temperature techniques. Surface treatments to pots that enhance the uniqueness of the firing are stressed. Students have the opportunity to build kilns and manage firings themselves as well as the opportunity to participate in a wood firing.",3,Ceramics Firing Techniques 2
Applied Arts,ART 20815287,Students will work on individual projects under the supervision of an instructor.,3,Indep Study Studio Art
Event - Nonreportable Activity,Study Abroad,Study Abroad,3,Drawing 2
Event - Nonreportable Activity,Study Abroad,"Study Abroad.  Surveys the development of Prehistoric, Ancient through Medieval art and architecture found throughout Europe, the near East and Egypt. Emphasis is given to the form and meaning of a select group of artworks and buildings, their stylistic tendencies and respective movements in the history of art, and the socio-political and cultural contexts for these movements.",3,Introduction to Art History - Study Abroad
Applied Arts,ART 20815298,"Independent study can be taken only with instructor written consent, and approval by the art department.",1 - 3,Indep Study Ceramics Sculpture
Event - Nonreportable Activity,Study Abroad,Study Abroad,3,Art Hist:Modern Era
Event - Nonreportable Activity,Study Abroad,Study Abroad,3,Painting 1
Event - Nonreportable Activity,Study Abroad,Study Abroad,3,Painting 2
Event - Nonreportable Activity,Study Abroad,Study Abroad,3,Photography
ASTRON 20806806,This course satisfies LAT Req,"Allows a qualified Honors student to pursue a special concentration of study under the guidance of a faculty member. Requires completion of an Honors Project Contract.  Credits 1 – 3. May be taken more than once. Pre-requisite: 1)  minimum of 12 credits at Madison College, a 3.5 or higher GPA, and a previous or concurrent course with Honors Instructor; or 2) High School GPA of 3.5 or higher, and permission of Honors Instructor.",3,Honors - Astronomy
ASTRON 20806253,This course satisfies LAT Req,"An introductory astronomy course covering the sky and celestial motions, ancient astronomy, the Copernican revolution, gravity and orbits, light and astronomical instruments and the solar system. Recommended evening observing sessions will also be included.  (These are off campus meetings for star viewing with the school's binoculars and telescopes.)",4,Astronomy: The Solar System
ART 20815294,This course satisfies LAT Req,"Focuses on developing the ability to make by hand, ceramic sculpture through creative projects. Forming techniques, glazing and kiln stacking are an integral part of the class and are learned through hands-on activities. Students make creative and innovative sculpture in this laboratory class as well as research and critique works of art.",3,Ceramics Sculpture 1
Health Related Professions,DENTAST 30508340,,2,Dental Theory
Health Related Professions,DENTAST 30508342,,3,Chairside Techniques Lab
Health Related Professions,DENTAST 30508343,,3,Dental Materials
Health Related Professions,DENTAST 31508304,Prepares dental assistant students to apply fundamentals of general and dental anatomy to informed decision making and to professional communication with colleagues and patients. Prerequisites:  acceptance into the Dental Assistant program.,2,Dental & General Anatomy
Health Related Professions,DENTAST 31508305,"Prepares dental auxiliary students to operate x-ray units and expose bitewing, periapical, extra oral and occlusal radiographs. Emphasis is placed on protection against x-ray hazards. Students also process, mount and evaluate radiographs for diagnostic value. Prerequisites:  completion of, or concurrent enrollment in, 10-508-101 and 31-508-304.",2,Applied Dental Radiography
Health Related Professions,DENTAST 31508306,"Students apply skills developed in Dental and General Anatomy, Dental Health Safety, Dental Chairside, Dental Materials, Dental Radiography and Professionalism in a clinical setting with patients. Emphasizes integration of core abilities and basic occupational skills. Prerequisites:  completion of, or concurrent enrollment in, 10-508-101, 31-508-304, 31-508-302, 10-508-113, 31-508-305 and 31-508-307.",3,Dental Assistant Clinical
ASTRON 20806254,This course satisfies LAT Req,"An introductory astronomy course covering gravity, light and astronomical instruments, our Sun, stars and stellar evolution (including nebulae, supernovae, white dwarfs, pulsars, and black holes), Milky Way and other galaxies, and cosmology (history, structure, and fate of the universe, big bang theory). Some optional evening observing sessions may also be included (off campus meetings for star viewing with the school's binoculars and telescopes).",4,Astronomy: Stars & Galaxies
Health Related Professions,DENTAST 31508307,"Prepares dental assistant students for professional success in a dental practice or another dental health care environment. Students develop professional appearance and image. More importantly, they learn to work within ethical guidelines and legal frameworks. In preparation for entering the work force, dental assistants customize or develop their portfolios and lay out an on-going professional development plan. Prerequisite: acceptance into the Dental Assistant program.",1,Dental Assistant Professional
Health Related Professions,DENTAST 30508341,,2,Chairside Theory
Health Related Professions,DENTAST 30508344,,2,Dental Assistant Radiography
Health Related Professions,DENTAST 30508345,,1,Clinical Affiliation
Health Related Professions,DENTAST 31508308,,2,Dental Materials 1
Health Related Professions,DENTAST 31508313,"Students apply skills developed in Dental and General Anatomy, Dental health Safety, Dental Chairside, Dental Materials, Dental Radiography, Professionalism in a clinical setting with patients. Emphasizes integration of core abilities and basic occupational skills.",1,Dental Assistant Clinical Occupational Experience
Health Related Professions,DENTAST 31508302,"Prepares dental assistant students to chart oral cavity structures, dental pathology and restorations and to assist a dentist with basic dental procedures including examinations, pain control, amalgam restoration and cosmetic restoration. Student will also develop the ability to educate patients about preventive dentistry, brushing and flossing techniques, and dental procedures, using lay terminology. Throughout the course, students will apply decoding strategies to the correct use and interpretation of dental terminology. Prerequisites: completion of, or concurrent enrollment in, 10-508-101.",5,Dental Chairside
Health Related Professions,DENTAST 31508301,,1,Dental Assist Radio Theory
Health Related Professions,DENTAST 31508321,,2,Chairside Theory 1
Health Related Professions,DENTAST 31508324,,1,Chairside Theory 2
Health Related Professions,DENTAST 31508310,,2,Oral Anatomy
Health Related Professions,DENTAST 31508322,,2,Chairside Techniques Lab 1
Health Related Professions,DENTAST 31508320,,1,Dental Practice Administration
Health Related Professions,DENTAST 31508331,,1,Dental Emergencies
Health Related Professions,DENTAST 31508314,"Students apply skills developed in Dental and General Anatomy, Dental health Safety, Dental Chairside, Dental Materials, Dental Radiography, and Dental Assistant Professionalism.",1,Dental Assistant Clinical Lecture
Health Related Professions,DENTAST 31508325,,1,Chairside Techniques Lab 2
Health Related Professions,DENTAST 31508335,,1,Clinical Affiliations 1
Health Related Professions,DENTAST 31508312,"Students apply skills developed in Dental and General Anatomy, Dental Health Safety, Dental Chairside, Dental Materials, Dental Radiography, and Professionalism in on-campus, mock-clinical experience.",1,Dental Assistant Clinical Lab
Health Related Professions,DENTAST 31508336,,4,Clinical Affiliations 2
Health Related Professions,DENTHYG 10508106,"This clinical course builds on and expands the technical/clinical skills student dental hygienists began developing in Dental Hygiene Process 1.  Under the direct supervision of an instructor, students apply patient care assessment, planning, implementation, and evaluation skills to provide comprehensive care for calculus case type 1 and 2 patients and perio case patients.  This course also introduces the application of fluoride and desensitizing agents, whole mouth assessments, comprehensive periodontal examinations, application of sealants, and patient classification.  Students also begin performing removal of supragingival stain, dental plaque, calcified accretions, and deposits.  In addition, they gain further experience in exposing radiographs on patients.",4,Dental Hygiene Process 2
Health Related Professions,DENTHYG 10508101,"Prepares dental auxiliary students to respond  proactively to dental emergencies, control infection, prevent disease, adhere to OSHA Standards, and safely manage hazardous materials.  Students also take patient vital signs and collect patient medica/dental histories.  CPR certification is prerequisite: students will be required to show proof of certification before beginning the course.",1,Dental Health Safety
Health Related Professions,DENTHYG 10508107,"Helps student dental hygienists develop and apply high professional and ethical standards.  Students apply the laws that govern the practice of dental hygiene to their work with patients, other members of a dental team and the community.  Emphasis is placed on maintaining confidentiality and obtaining informed consent.  Students enhance their ability to present a professional appearance.",1,Dental Hygiene Ethics & Profes
Health Related Professions,DENTHYG 10508102,"Prepares Dental Hygienist students to apply detailed knowledge about oral anatomy to planning, implementation, assessment, and evaluation of patient care.  Students identify distinguishing characteristics of normal and abnormal dental, head, and neck anatomy and its relationship to tooth development, eruption, and health.",4,"Oral Anatomy, Embry, Histology"
Health Related Professions,DENTHYG 10508112,"This clinical course builds on and expands the technical/clinical skill student dental hygienists developed in Dental Hygiene Process 2.  In consultation with the instructor, students apply independent problem-solving skills in the course of providing comprehensive care for calculus case type 1, 2, and 3 patients and perio case type 0, I, II, and III patients.  This also introduces root detoxification using hand and ultra-sonic instruments, a selection of dental implant prophylaxis treatment options, and administration of chemotherapeutic agents.  Students also adapt care plans in order to accommodate patients with special needs.",5,Dental Hygiene Process 3
Health Related Professions,DENTHYG 10508113,"Prepares dental auxiliary students to handle and prepare dental materials such as liners, bases, cements, amalgam, resin restorative materials, gypsum products, and impression materials.  They also learn to take alginate impressions on manikins and clean removable applicances.  This course is aligned to serve accepted students of Dental Hygiene and Dental Assistant programs.",2,Dental Materials
Health Related Professions,DENTHYG 10508114,Prepares student dental hygienists to select safe and effective patient premedication and within the scope of dental hygiene practice.  Students will also learn to recognize potential pharmacological contraindications for specific patients and to take measures to avoid negative impact or alert other members of the dental team to possible negative impact.,2,Dental Pharmacology
Health Related Professions,DENTHYG 10508105,"Introduces Dental Hygiene students to the basic technical/clinical skills required of practicing Dental Hygienists include the use of basic dental equipment, examination of patients, and procedures within the dental unit.  Under the direct supervision of an instructors, students integrate hands-on skills with entry-level critical thinking and problem-solving skills.  The course also reinforces the application of Dental Health Safety skills.",4,Dental Hygiene Process 1
Health Related Professions,DENTHYG 10508103,"Prepares dental auxiliary students to operate x-ray units and expose bitewing, periapical, extra oral, and occlusal radiographs.  Emphasis is placed on protection against x-ray hazards.  Students also process, mount, and evaluate radiographs for diagnostic value.  In this course students demonstrate competency on a manikin.  In addition, students expose bitewing radiographs on a peer, role-play patient.  Students gain further experience in exposing radiographs on patients in the clinical portion of their program.  This course also provides the background in radiographic theory required for students to make informed decisions and adjustments.  Pre-requisites:  completion of, or concurrent enrollment in, Dental Health Safety, 10-508-101, and Dental and General Anatomy, 31-508-304.",2,Dental Radiography
Health Related Professions,DENTHYG 10508110,Prepares student dental hygienists to counsel patients about diet and its impact on oral health.  Students learn to distinguish between balanced and unbalanced diets and to construct diets that meet the needs of patients with compromised dental/oral health  Students also learn to counsel patients about the effect of eating disorders on dental health.,2,Nutrition and Dental Health
Health Related Professions,DENTHYG 10508118,This course prepares the student dental hygienist to work within the scope of dental hygiene practice to manage anxiety and pain for dental patients. Students learn to prepare and administer local anesthesia and nitrous oxide safely. The course also addresses the recommendation of alternative pain control measures.,2,Dental Anxiety and Pain Management
Health Related Professions,DENTHYG 10508111,"This course prepares the student dental hygienist to determine when to consult, treat or refer clients with various disease, infection or physiological conditions.  Students learn to recognize the signs, causes, and implications of common pathological conditions including inflammatory responses, immune disorders, genetic disorders, developmental disorders of tissues and cysts, oral tissue trauma, and neoplasm of the oral cavity.",3,General and Oral Pathology
Health Related Professions,DENTHYG 10508108,"This course prepares student dental hygienists to assess the periodontal health of patients, plan prevention and treatment of periodontal disease, and to evaluate the effectiveness of periodontal treatment plans.  Emphasis is placed on the recognition of the signs and causes of periodontal dfisease and on selection of treatment modalities that minimize risk and restore periodontal health.",3,Periodontology
Health Related Professions,DENTHYG 10508116,"This course prepares the student dental hygienist to work within the scope of dental hygiene practice to manage pain for dental patients. Students learn to prevent and manage common emergencies related to administration of local anesthesia, prepare the armamentarium, and administer local anesthesia. The course also addresses the recommendation of alternative pain control measures.",1,Dental Pain Management
Health Related Professions,DENTHYG 10508126,This course description is unavailable at this time. Please contact the Center offering the course for more information.,2,Dental Hygiene Board Review
Health Related Professions,DENTHYG 10508117,"This clinical course builds on and expands the technical/clinical skills student dental hygienists developed in Dental Hygiene Process 3.  With feedback from the instructor, students manage all aspects of cases in the course of providing comprehensive care for calculus case type 0, 1, 2, and 3 patients and for perio case type 0, I, II, and III patients.  Emphasizes maximization of clinical efficiency and effectiveness.  Prepares student dental hygienists to demonstrate their clinical skills in a formal examination situation.",4,Dental Hygiene Process 4
Health Related Professions,DENTHYG 10508115,This coruse prepares the Dental Hygienist student to play a proactive role in improving the dental health of community members of all ages.  Students perform and interpret dental health research to determine community dental health needs.,2,Community Dental Health
Health Related Professions,DENTHYG 10508109,"This course focuses on the characteristics and contributing factors of dental decay. Dental Hygiene students help patients minimize caries risk by developing treatment plans, communicating methods to patients, and evaluating treatment results. Prerequisites: satisfactory completion of all first semester, second year Dental Hygiene courses and concurrent enrollment in 10-508-124.",1,Cariology
Health Related Professions,DENTHYG 10508128,,2,Dental Materials
Health Related Professions,DENTHYG 10508123,"Emphasis on team dentistry, legal issues, practice settings, management skills, job selection, interviewing and resumes.  Prerequisites:  satisfactory completion of all first semester, second year Denal Hygiene courses and concurrent enrollment in 10-508-124.",1,Clinical Dental Hygiene Theory 4
Health Related Professions,DENTHYG 10508135,,2,Periodontics 2
Health Related Professions,DENTHYG 10508124,"Offers further practice of techniques and procedures already learned.  Prerequisites:  satisfactory completion of all first semester, second year Dental Hygience courses and concurrent enrollment in 10-508-123.",4,Clinical Dental Hygiene Laboratory 4
Health Related Professions,DENTHYG 10508148,"Covers functions and characteristics of the primary, mixed and permanent dentitions; forms and position of individual teeth and oral tissues; and anatomy and physiology of the head and neck including osteology, myology, neurology, swallowing and mastication.",3,Oral Anatomy And Physiology
Health Related Professions,DENTHYG 10508138,,2,Dental Hygiene Radiography
Health Related Professions,DENTHYG 10508160,,2,Spec Prblm In Dh
Health Related Professions,DENTHYG 10508139,,1,Histology
Health Related Professions,DENTHYG 10508134,,1,Periodontics 1
Health Related Professions,DENTHYG 10508145,"An attempt to understand oral disease so that it can be properly diagnosed and adequately treated.  Presents a correlation of human biology with the clinical signs and symptoms of oral disease.  Where possible, the prognosis of each disease is considered as a relection of underlying tissue alteration and of contemporary therapeutic measures.  Emphasis is placed on the physiological and chemical aspects of oral disease.  Prerequisites:  satisfactory completion of all second semester, first year Dental Hygience courses and 20-806-273 and concurrent enrollment in 10-508-117, 10-508-118, 10-508-142 and 10-508-190.",3,Pathology - Dental Hygienist Program prior to 2009-2010 - Credit Based Continuing Education
Health Related Professions,DENTHYG 10508142,"A study of the principles of pharmacology and the pharmacology of representative drugs that are in current use and affect dental practice.  Special consideration is given to antibiotics, sedatives, pain-relieving drugs and anesthetics.  Prerequisites:  satisfactory completion of all second semester, second year Dental Hygience courses and 20-806-273, and concurrent enrollment in 10-508-117, 10-508-118, 10-508-135, 10-508-145 and 10-508-190.",2,Pharmacology - Dental Hygienist Program prior to 2009-2010
Transportation,AGMECH 10070175,"The course covers the operation, power flow, diagnosis and servicing of collar shift, synchronized and power shift transmissions. The class also discusses the operation and service of wet and dry clutches differentials, planetary drive axles, P.T.O. drives and mechanical front wheel drives.",4,Power Transmissions
Transportation,AGMECH 10070176,"This class begins with a discussion of the laws of electricity as they relate to the operation of the charging, starting and lighting systems. Diagnostic testing and troubleshooting will be demonstrated on alternators, starters and lighting systems. Methods of repair will be demonstrated where methods are currently used at the dealerships.",5,Electrical Systems
Health Related Professions,DENTHYG 10508304,Prepares Dental Assistant students to apply fundamentals of general and dental anatomy to informed decision making and to professional communication with colleagues and patients. Prerequisites: acceptance into the Dental Assistant program.,2,Dental & General Anatomy
Transportation,AGMECH 10070150,"This course will introduce students to GPS and how it works with agricultural machinery functionality. Basic GPS equipment guidance systems set-up, operation and diagnostics will be utilized. Types of GPS signals and their applications currently used on John Deere agricultural equipment will be covered.",1,Precision Farming (Ag Management Solutions)
Health Related Professions,DENTHYG 10508140,,2,Nutrition And Oral Health
Health Related Professions,DENTHYG 10508190,"Concerned with developing an understanding of public health methods and an awareness of the dental hygienist's role in the promotion of dental health within the context of the total health of the community.  Prerequisites:  satisfactory completion of all second semester, first year Dental Hygience courses and 20-806-273 and concurrent enrollment in 10-508-117, 10-508-118, 10-508-142 and 10-508-145.",2,Personal and Community Health
Transportation,AGMECH 10070181,"This course provides instruction in the theory of operation, adjustment and service of planting equipment. Students will learn the operation and service of corn planters and grain drills. Emphasis is given to how the corn planter seed meters work and how the attachments operate. In addition, the course also provides information on the theory, operation, adjustment and service of forage harvesting machines. Machines covered include mower conditioners, square balers, round balers and forage harvesters. Bearings, clutches, U-joints and other power transmission components also are covered.",4,Implements 1
Transportation,AGMECH 10070177,"This course covers the theory of operation, construction and service of diesel engine fuel systems. Also reviewed are diesel engine compression, ignition, theory combustion, chamber design and procedures for installing, timing of fuel quantity for proper combustion. Electronic fuel delivery will be discussed as it relates to engine operation.",3,Fuel Systems
Transportation,AGMECH 10070150,"This course will introduce students to GPS and how it works with agricultural machinery functionality. Basic GPS equipment guidance systems set-up, operation and diagnostics will be utilized. Types of GPS signals and their applications currently used on John Deere agricultural equipment will be covered.",1,Precision Farming (Ag Management Solutions)
Transportation,AGMECH 10070180,,2,Occupational Experience
Transportation,AGMECH 10070178,"This course provides instruction in the theory of operation and service of the grain combine. Students will learn how the combine processes grain, the basic components, means of service and repair of the machine. Lab work is designed to provide students with hands-on experience on combines, grain platforms and corn heads. Service and adjustment activities include the cylinder, gear boxes and power transmission components.",3,Implements 2
Transportation,AGMECH 10070182,"This course will introduce the student to the type and operation temperature, pressure and speed sensors. Students wil be introduced to the central control unit (CCU) and the hitch control unit (HCU). Students will be shown the procedure for recalling codes and transmission calibration procedures. This course will provide the electrical certification for John Deere Technicians.",3,Accessories & Electronics
Transportation,AGMECH 10070184,"This course provides instruction on the 6, 7 and 8000 series John Deere tractors. The component configuration and operational characteristics of these tractors will be introduced. Students will service and rebuild the axial piston pumps, SCV’s and other components of the hydraulic system. Students will follow the technical manual diagnostic procedures to check out and troubleshoot the hydraulic system.",3,Hydraulics 2
Health Related Professions,DENTHYG 10508801,"Allows a qualified Honors student to pursue a special concentration of study under the guidance of a faculty member. Requires completion of an Honors Project Contract. Credits 1 – 3. May be taken more than once. Pre-requisite:  1) minimum of 12 credits at Madison College, a 3.5 or higher GPA, and a previous or concurrent course with Honors Instructor; or 2) High School GPA of 3.5 or higher, and permission of Honors Instructor.",3,Honors-Dental Hygienist
Transportation,AGMECH 10070190,,1,Shop Operations
Transportation,AGMECH 10070185,,3,Equipment Maintenance
Transportation,AGMECH 10070188,"Students receive on-the-job experience in the areas of combines, corn heads and grain platforms.  Other areas covered include set-up, tillage and planting equipment.",2,Occupational Experience 2
Transportation,AGMECH 10070187,"Students receive on-the-job experience in the areas of implement repair and service. Areas covered include, but are not limited to, tillage, planting and hay harvesting machines. Students also will be exposed to the operation and function of the dealership service department. Prerequisite: second-semester standing.",2,Occupational Experience 1 - Agricultural Equipment Technology Program
Transportation,AGMECH 10070195,"Study in this course will allow the student to develop a basic knowledge of combustion engine design and operation with the major emphasis on diesel engines.  Experience in the course will provide the student with the skills and knowledge needed to diagnose, overhaul, maintain, adjust and repair engines found in agricultural machines and equipment.",3,Engine Repair
