description,title,course,prerequisite,department,unit
"Biochemistry Topics,An in-depth study of metabolism and regulation and enzyme mechanisms as well as cell communication, transport mechanisms, and immunology, gene expression, and regulation. P: A grade of ""C"" or better in CHEMSTRY 4630.",Biochemistry Topics,CHEMSTRY 6830,None,"Engineering, Math and Science",3
"Independent Study in Criminal Justice,Students registering for independent study must submit, at or before registration, a description and timetable for completion, signed by the instructor supervising the independent study. The project must be above and beyond the student's traditional employment requirements. This is to be a graduate level experience, conducted with graduate rigor and culminating in a document of professional quality. The final report must describe and summarize the project in detail; wherever feasible, graphics, figures, data, and equations are to be included. (Contact advisor for prior approval and registration instructions.)",Independent Study in Criminal Justice,CRIMLJUS 7980,None,Liberal Arts and Education,1 - 4
"Seminar Paper Research,Based on individual interest and consultation with an advisor, the student will be required to write an advanced research paper on a specific topic; the independent empirical research should serve as a capstone to the student's educational experience, and as a bridge to the student's future in the criminal justice field.  P:  for online master's programs:  CRIMLJUS 7030, CRIMLJUS 7130 or CRIMLJUS 7730, CRIMLJUS 7230, and CRIMLJUS 7330.  (All master's programs:  contact advisor for prior approval and registration instructions.)",Seminar Paper Research,CRIMLJUS 7920,"P: CRIMLJUS 7030, CRIMLJUS 7130 or CRIMLJUS 7730, CRIMLJUS 7230 and CRIMLJUS 7330",Liberal Arts and Education,3
"Psychology of Coaching,The principles and techniques applicable to coaching interschool activities.",Psychology of Coaching,HHP 6020,None,Liberal Arts and Education,2
"Special Topics in Computer Science,Specific contemporary issues or other issues related to Computer Science will be explored in depth.  Topics vary.  P: consent of instructor.",Special Topics in Computer Science,COMPUTER 7830,None,"Engineering, Math and Science",1 - 3
"Methods in Teaching Health Education,Utilization of approved methods and materials for teaching health in grades kindergarten through 12; application of course content and procedures involved in health teaching.",Methods in Teaching Health Education,HHP 5500,None,Liberal Arts and Education,3
"Methods in Middle/Secondary Physical Education,This course explores all the elements of planning for, managing, and instructing physical education classes. Students will be given the opportunity to work directly with school-age students, and reflect upon their experiences. Students will plan lessons, evaluate in-service teachers as well as their peers, and develop a number of teaching strategies.",Methods in Middle/Secondary Physical Education,HHP 6230,None,Liberal Arts and Education,3
"Organization, Administration, and Curriculum of Physical Education and Health,The Physical Education Teaching candidate will evaluate, critic, research, justify, and create a K-12 Health or Physical Education scope and sequence that will contain education goals to meet specific standards, course schedule, budget, and evaluation tools that will demonstrate the students¿ knowledge, skills, and understanding of the educational system.","Organization, Administration, and Curriculum of Physical Education and Health",HHP 6330,None,Liberal Arts and Education,3
"Criminal Procedure and Evidence,A study of case law defining constitutional constraints on police behavior in the areas of arrest, search and seizure, interrogation, identification and investigation; rules on the exclusion of illegally seized evidence.",Criminal Procedure and Evidence,CRIMLJUS 6330,None,Liberal Arts and Education,3
"Practicum in Athletic Coaching,Actual experience related to the coaching of an athletic team under the leadership of an experienced coach and teacher.",Practicum in Athletic Coaching,HHP 7420,None,Liberal Arts and Education,2 - 6
"Seminar Paper Research,The seminar paper or educational project need not be a report of original and independent research. It must demonstrate, however, the student's ability to survey a field of knowledge and assemble, organize, evaluate, interpret, and present evidence in a logical and intelligent manner. Although the seminar paper or educational project may originate from work done in connection with one of the student's graduate courses and be based upon a term paper or course project, it must be more comprehensive and complete in coverage and treatment.  In consultation with the program advisor, the student proposes a seminar paper or educational project and a seminar paper or educational project advisor.  An approved seminar paper or educational project proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. The seminar paper or educational project advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Seminar Paper Research,HHP 7920,None,Liberal Arts and Education,2
"Independent Study in Health Education,The amount of graduate credit allowed for independent study may not exceed a total of three credits. Approval must be secured before independent study courses are begun. Students registering for independent study must submit at or before registration a description signed by the instructor conducting the independent study of the subject to be covered. Independent study may not be used for collecting information for the seminar paper.",Independent Study in Health Education,HHP 7980,None,Liberal Arts and Education,1 - 3
"Independent Study in Physical Education,The amount of graduate credit applied toward a master's degree may not exceed a total of four credits except with the special permission of the student's advisor, the program head, and the Dean of The School of Graduate Studies. Approval must be secured before independent study courses begin. Students registering for independent study must submit at or before registration an approved independent study proposal form. This form must be signed by the instructor conducting the independent study, the department chairperson, the Dean of the School of Graduate Studies, and the student. Independent study may not be used for collecting information for the seminar paper.  Students enrolling for independent study may obtain an independent study proposal form and instruction sheet from the School of Graduate Studies Office online at www.uwplatt.edu/gradstudies/independentstudy.html.  A student may register for more than the maximum number of independent study credits allowed by a subject area. However, the student may only apply the maximum number of independent study credits allowed by a subject area toward a master's degree at the University of Wisconsin-Platteville.",Independent Study in Physical Education,HHP 6960,None,Liberal Arts and Education,1 - 3
"Object-Oriented Analysis and Design,Requirements engineering, analysis, and specification using the object-oriented paradigm.  Object-oriented architectural and detailed design.  Use of an OOA&D modeling language such as UML.  Investigation of OOA&D patterns. Moderate size, group project.  P:  SOFTWARE 2730 and COMPUTER 2430.",Object-Oriented Analysis and Design,COMPUTER 5430,None,"Engineering, Math and Science",3
"Assessment, Testing and Interviewing in Counseling,This course provides a broad understanding of theories and approaches to group and individual appraisal in counseling.  Methods of data collection, ethical issues, validity and reliability in testing, statistical analysis, and factors that may influence the testing process will be explored.  Socio-cultural considerations and considerations for individuals with special needs related to assessment and evaluation will be examined.   Students will identify common appraisal instruments for specific purposes, explore administration procedures, practice interpretation of results, and identify limitations of results for appraisal instruments used in counseling.","Assessment, Testing and Interviewing in Counseling",COUNSED 6600,None,Liberal Arts and Education,3
"Group Counseling,In this course, students will examine group development and group counseling theory. Students will explore group dynamics and will practice structured and developmental group counseling methods art basic and advanced levels.  Group participation and group leadership styles will be explored while students practice facilitation of problem-solving skill development to foster client wellness.",Group Counseling,COUNSED 6250,None,Liberal Arts and Education,3
"Teaching Issues Relating to Alcohol, Drugs, and Sexuality,This course covers information and explores strategies, programs, and teaching techniques to prepare the teaching candidate to teach in a school setting.  The teacher candidate is required to perform 5 hours of teaching in a school setting.  P: HHP 2030 Spring.","Teaching Issues Relating to Alcohol, Drugs, and Sexuality",HHP 5220,None,Liberal Arts and Education,2
"Career Development and Information Services,In this course, students will prepare to provide career development and information services as counselors and educators.  Career development theory and practice will be examined within social, familial, cultural, and developmental contexts, and the process of career and leisure planning will be conceptualized holistically as an essential component in the lifelong pursuit of well-being.  Students will examine important resources such as career interest assessments; occupation, education, and labor market information; and information regarding variations in educational opportunities.    Career development program planning and program evaluation will be explored as students learn to support others in career and leisure decision-making through effective guidance, education, information, and counseling services.",Career Development and Information Services,COUNSED 7080,None,Liberal Arts and Education,3
"Theories of Counseling and Psychotherapy,In this course, students will examine the philosophical and historical bases for a variety of prominent counseling theories. Critical analysis of the processes and issues associated with counseling theories will be encouraged throughout the course. Students will use current research and knowledge of counseling practices to begin to develop their own personal, theoretical framework for approaching the practices of counseling.",Theories of Counseling and Psychotherapy,COUNSED 7070,None,Liberal Arts and Education,3
"Thesis Research,The thesis may be an outgrowth of a research course (e.g. TEACHING 7000 Research Procedures) or may be developed independently within the program area. The thesis will report the results of original and independent student research on a given problem or topic, by systematic and impartial methods, and will demonstrate the student's ability to use techniques customarily employed in the particular field of investigation. Although a thesis for the master's degree may not always be expected to make a significant contribution to existing knowledge, it should be a scholarly document that is accurate, verifiable, objective, and impartial.  In consultation with the program advisor, the student proposes a committee of three faculty members. The committee normally includes the thesis advisor, one additional major department member, and one faculty member from another department. In some instances, a student may prefer a thesis advisor who is different from the program advisor assigned at the time of admission.  An approved thesis proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. (Thesis students will find the Texas A and M link useful for formatting procedures and other technical assistance.) The thesis advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Thesis Research,HHP 7990,None,Liberal Arts and Education,3 - 6
"Student Services in Higher Education,This course provides a comprehensive examination of the function of student services in institutions of higher education. Practical and theoretical perspectives will be explored as students develop an appreciation for the need and the potential impact of student services, resources, and programming on student success. ,
Course content will include historical and philosophical foundations of student affairs and leadership, management and organizational issues, and essential skills and professional development in building an equitable organization.   The synthesis of theory and practice will be emphasized throughout the course.",Student Services in Higher Education,COUNSED 7140,None,Liberal Arts and Education,3
"Orientation to Professional Counseling,This introductory course provides students with an overview of the field of professional counseling including an examination of the various roles and functions of professional counselors.  Historical and philosophical perspectives will be explored and current and future trends in the profession will be examined.   The varying roles and functions of the professional counselor as a member of a mental health care team are identified and the relationships of counselors with members of human service organizations and integrated behavioral health care systems are examined. Federal, state, and local laws governing preparation for professional licensing are introduced.   Ethical standards of the American Counseling Association, laws regulating the counseling profession, and professional behavioral expectations are emphasized throughout the course. Attention will also be given to the challenges of vicarious trauma, burnout, and compassion fatigue; and resiliency for the helping professional will be highlighted throughout the course.",Orientation to Professional Counseling,COUNSED 6630,None,Liberal Arts and Education,3
"Social and Cultural Foundations in Counseling and Education,This course will provide a broad examination of the sociocultural issues associated with living and working in a multicultural society.  Societal changes and trends, changing human roles, formation of societal subgroups, evolutions in social expectations, and historical interaction patterns will be examined.   Students will be challenged to examine their own paradigms and identify the complexities of their own cultural identity. Issues such as cultural social justice, advocacy, conflict resolution and supported cultural behaviors that promote optimal wellness and growth of the human spirit, mind, or body are examined. The role of counselor and educator in eliminating biases, prejudices, intentional and unintentional oppression, and discrimination will be emphasized.",Social and Cultural Foundations in Counseling and Education,COUNSED 7190,None,Liberal Arts and Education,3
"Advanced Techniques of Counseling and Psychotherapy,This course provides a broad understanding of the helping processes which include the use of basic and advanced helping skills,
to facilitate change.  Students are provided opportunities to expand, implement, and refine counseling and consultation skills ,
through application of various counseling approaches. Students will develop an increased understanding of their role in the ,
change process and will be encouraged to participate in personal and professional development activities as an ongoing process.,
Counseling processes, ethical considerations, theoretical applications, and considerations for counseling a diverse population,
will be emphasized throughout this course.",Advanced Techniques of Counseling and Psychotherapy,COUNSED 7170,None,Liberal Arts and Education,3
"Seminar in Community and Environmental Health Education,In-depth research and presentation of material related to topical health issues and service learning.",Seminar in Community and Environmental Health Education,HHP 6940,None,Liberal Arts and Education,3
"Advanced Algorithms,This course covers the advanced paradigms for the design and analysis of efficient algorithms, including dynamic programming, optimal greedy algorithms, amortized analysis, parallel algorithms, computational geometry algorithms, NP-hard and NP-complete problems, approximation algorithms, network flow algorithms, and randomized algorithms.",Advanced Algorithms,COMPUTER 7820,None,"Engineering, Math and Science",3
"Family, Marital and Partnership Counseling,In this course, students will become familiar with family, marital, and partnership counseling concepts.   Systems theories, philosophy, and the dynamics of family and system interactions are examined. Assessment and interventions of dysfunctional systems, including family, marital, and partner systems or ecosystem relationships, are explored.   Multicultural considerations and professional ethics are emphasized throughout this course.","Family, Marital and Partnership Counseling",COUNSED 7230,None,Liberal Arts and Education,3
"Current Issues in Health and Physical Education,Study of current topics in health and physical education.",Current Issues in Health and Physical Education,HHP 6430,None,Liberal Arts and Education,1 - 3
"Practicum in Student Services in Higher Education,This course focuses on enhancement of the educational experience through placement with a student services provider where the student will complete a practicum under the supervision of a site supervisor and a university supervisor.   Students might participate in varied aspects of student services work during this practicum experience. ,
Students should expect to agree to and pay for a background check and drug test if required.  Students should expect to submit disposition endorsements as required.  ,
Program coordinator's approval is required.  This is a variable credit course for 1-6 credits and can be repeated for credit once with coordinator's approval. (50 hrs= 1 credit, 100 hrs=2 credits, 150 hrs= 3 credits).",Practicum in Student Services in Higher Education,COUNSED 7250,None,Liberal Arts and Education,1 - 6
"Practicum in Mental Health Counseling,This course focuses on enhancement of the educational experience through placement with a mental health provider where the student will provide individual, group, and family counseling under the supervision of a site supervisor and a university supervisor.   Students will participate in all facets of mental health counseling services including assessment, diagnosis, treatment planning, counseling, and documentation.  Ethical and legal considerations will be emphasized throughout the experience.,
Students are required to participate in 100 hours of service with a minimum of 40 of those hours spent in face-to-face client contact.   At least one hour per week of supervision by the site supervisor is required, and an average of 1.5 hours of weekly supervision with the university supervisor will be scheduled.  Readings and other assignments will be required.   Students may be asked to agree to and pay for a background check and drug test if required by the practicum supervisor.  Students should expect to submit disposition endorsements as required.",Practicum in Mental Health Counseling,COUNSED 7340,None,Liberal Arts and Education,3
"Practicum II: Student Services in Higher Education,This graduate-level course is designed to help students develop professional knowledge and skills in a higher education context.  It will provide a forum for helping students understand developmentally-based student services and how to administer them.  This course is experiential in nature, focusing on skills that are components of student services programming.  It is designed to provide students with both practice and feedback.  P: The practicum applicant must have 1) been admitted to candidacy, 2) completed all required courses, 3) obtained departmental approval for clinical, and 4) succesfully completed Practicum I.",Practicum II: Student Services in Higher Education,COUNSED 7260,None,Liberal Arts and Education,3 - 6
"Crisis and Trauma Counseling,In this course, students will examine the immediate, short-term, and long-term impact that crises and trauma might have on children, adolescents and adults.   Counseling approaches that effectively address crises and trauma will be explored.  Potential associated neurobiological responses to crisis and trauma will be explored and clinical implications will be identified.  Skills and techniques for assessing and intervening in specific crisis and trauma situations will be developed, including suicide assessment and intervention.   Legal, ethical, and cultural considerations will be emphasized throughout the course.",Crisis and Trauma Counseling,COUNSED 7400,None,Liberal Arts and Education,3
"Internship in Mental Health Counseling II,This course focuses on enhancement of the educational experience through placement with a mental health provider where the student will provide individual, group, and family counseling under the supervision of a site supervisor and a university supervisor.   Students will participate in all facets of mental health counseling services including assessment, diagnosis, treatment planning, counseling, and documentation.  Ethical and legal considerations will be emphasized throughout the experience.,
Students are required to participate in 300 hours of service with a minimum of 120 of those hours spent in face-to-face client contact.   At least one hour per week of supervision by the site supervisor is required, and supervision with the university supervisor will be scheduled.  Readings and other assignments will be required.   Students may be asked to agree to and pay for a background check and drug test if required by the internship supervisor.  Students should expect to submit disposition endorsements as required.",Internship in Mental Health Counseling II,COUNSED 7360,None,Liberal Arts and Education,3 - 6
"Internship in Mental Health Counseling I,This course focuses on enhancement of the educational experience through placement with a mental health provider where the student will provide individual, group, and family counseling under the supervision of a site supervisor and a university supervisor.   Students will participate in all facets of mental health counseling services including assessment, diagnosis, treatment planning, counseling, and documentation.  Ethical and legal considerations will be emphasized throughout the experience.,
Students are required to participate in 300 hours of service with a minimum of 120 of those hours spent in face-to-face client contact.   At least one hour per week of supervision by the site supervisor is required, and supervision with the university supervisor will be scheduled.  Readings and other assignments will be required.   Students may be asked to agree to and pay for a background check and drug test if required by the internship supervisor.  Students should expect to submit disposition endorsements as required.",Internship in Mental Health Counseling I,COUNSED 7350,None,Liberal Arts and Education,3
"Psychopharmacology for Counselors,In this course, students will become familiar with the primary neurotransmitter systems, their distribution, and effects on the brain and body.  Students will also become familiar with the effects of both recreational and psychotropic drugs and approaches for use of pharmaceutical interventions in the psychiatric treatment of mental disorders.   Behavioral and molecular neuropharmacology and the challenges of withdrawal from substances of potential abuse will be examined.   Related issues such as addiction and illegal distribution of substances will be examined holistically as to the effects on individual wellness, family systems, and larger societal systems.",Psychopharmacology for Counselors,COUNSED 7510,None,Liberal Arts and Education,3
"Practicum in Substance Abuse Counseling,This course focuses on enhancement of the educational experience through placement with a substance abuse counseling provider where the student will provide counseling services under the supervision of a site supervisor and a university supervisor.   Students will participate in all aspects of substance abuse counseling services including assessment, diagnosis, treatment planning, counseling, case management, consultation, and documentation.  Ethical and legal considerations will be emphasized throughout the experience.,
Program coordinator's approval is required.  This is a variable credit course for 1-6 credits and can be repeated for credit once with coordinator's approval. (50 hrs.= 1 credit, 100 hrs.=2 credits, 150 hrs.= 3 credits, etc.) ,
Students should expect to agree to and pay for a background check and drug test if required.  Students should expect to submit disposition endorsements as required.",Practicum in Substance Abuse Counseling,COUNSED 7590,None,Liberal Arts and Education,1 - 6
"Practicum in Human Services,This course focuses on enhancement of the educational experience through placement with a human services provider where the student will complete a practicum under the supervision of a site supervisor and a university supervisor.   Students might participate in varied aspects of human services work during this practicum experience. ,
This course can be taken for 1-6 credits and can be taken more than once with coordinator's approval.  (50 hrs= 1 credit, 100 hrs=2 credits, 150 hrs= 3 credits) ,
Students should expect to agree to and pay for a background check and drug test if required.  Students should expect to submit disposition endorsements as required.",Practicum in Human Services,COUNSED 7700,None,Liberal Arts and Education,1 - 6
"Addictions Counseling,The course provides an overview of addiction - including an examination of the addiction development process. Effective treatment, recovery and addiction prevention approaches are explored. A variety of problematic behaviors including substance use, gambling, shopping and other addictive and process disorders are examined. The impact of addiction on self and others at various developmental stages is also explored and sociocultural considerations are highlighted throughout this course.",Addictions Counseling,COUNSED 7500,None,Liberal Arts and Education,3
"At Risk Youth,At risk youth present many challenges to society, families, and the educational system. Further, the issues that put youth at risk interfere with their ability to be successful in many areas of their lives. Consequently, in many cases, they find themselves ""in trouble"" with the law. This course is intended to assist the educator, counselor, and/ or police officer in understanding the factors that put a child at risk, as well as presenting a model of intervention and remediation to decrease and/or eliminate the risk. Practical strategies will be discussed.",At Risk Youth,COUNSED 7130,None,Liberal Arts and Education,3
"Thesis Research,Three graduate faculty members serve on the student's thesis committee and must have signed a thesis proposal in order for the student to register for Thesis Research.",Thesis Research,COUNSED 7990,None,Liberal Arts and Education,3 - 4
"Issues in History,Selected topics and issues of contemporary interest from world history. The specific topic will be chosen by the instructor and announced when the course is scheduled. May be repeated for credit.",Issues in History,HISTORY 6230,None,Liberal Arts and Education,1 - 3
"Seminar Paper Research,The seminar paper or educational project need not be a report of original and independent research. It must demonstrate, however, the student's ability to survey a field of knowledge and assemble, organize, evaluate, interpret, and present evidence in a logical and intelligent manner. Although the seminar paper or educational project may originate from work done in connection with one of the student's graduate courses and be based upon a term paper or course project, it must be more comprehensive and complete in coverage and treatment.  In consultation with the program advisor, the student proposes a seminar paper or educational project and a seminar paper or educational project advisor.  An approved seminar paper or educational project proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. The seminar paper or educational project advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Seminar Paper Research,HISTORY 7920,None,Liberal Arts and Education,1 - 2
"Reading and Research in Social Science,The amount of graduate credit allowed for independent study may not exceed a total of four credits except with the special permission of the student's advisor and the graduate dean. Approval must be secured before independent study courses are begun. Students registering for independent study must submit at or before registration a description signed by the instructor conducting the independent study of the subject to be covered. Independent study may not be used for collecting information for the seminar paper.",Reading and Research in Social Science,HISTORY 7980,None,Liberal Arts and Education,1 - 4
"Thesis Research,The thesis may be an outgrowth of a research course (e.g. TEACHING 7000 Research Procedures) or may be developed independently within the program area. The thesis will report the results of original and independent student research on a given problem or topic, by systematic and impartial methods, and will demonstrate the student's ability to use techniques customarily employed in the particular field of investigation. Although a thesis for the master's degree may not always be expected to make a significant contribution to existing knowledge, it should be a scholarly document that is accurate, verifiable, objective, and impartial.  In consultation with the program advisor, the student proposes a committee of three faculty members. The committee normally includes the thesis advisor, one additional major department member, and one faculty member from another department. In some instances, a student may prefer a thesis advisor who is different from the program advisor assigned at the time of admission.  An approved thesis proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. (Thesis students will find the Texas A and M link useful for formatting procedures and other technical assistance.) The thesis advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Thesis Research,HISTORY 7990,None,Liberal Arts and Education,3 - 6
"Special Problems in Biology,Individual specialized study. P: approval of faculty advisor and department chairperson before registration. Up to two credits can be counted toward a Biology major.",Special Problems in Biology,BIOLOGY 6920,None,"Bus, Inds, Life Sci, Ag",1 - 3
"Seminar Paper Research,The seminar paper or educational project need not be a report of original and independent research. It must demonstrate, however, the student's ability to survey a field of knowledge and assemble, organize, evaluate, interpret, and present evidence in a logical and intelligent manner. Although the seminar paper or educational project may originate from work done in connection with one of the student's graduate courses and be based upon a term paper or course project, it must be more comprehensive and complete in coverage and treatment.  In consultation with the program advisor, the student proposes a seminar paper or educational project and a seminar paper or educational project advisor.  An approved seminar paper or educational project proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. The seminar paper or educational project advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Seminar Paper Research,BIOLOGY 7920,None,"Bus, Inds, Life Sci, Ag",1 - 2
"Mental Health Diagnosis and Treatment Planning,This graduate-level, practical course focuses on the information-gathering process required to make an appropriate mental health diagnosis and the considerations needed to create an appropriate treatment plan for children, adolescents, and adults with mental health disorders.  Students will use a comprehensive approach to identify the strengths and needs of clients in clinical mental health settings and then create appropriate treatment plans utilizing evidence-based practices.   Students will determine the level of treatment necessary, set goals, identify signs of progress or decompensation, and evaluate suicidality.  Relevant documentation for various clinical settings will be covered including psychosocial and other intake assessments, treatment goals, treatment plan updates, and discharge planning.   Students will be expected to demonstrate awareness of, and sensitivity to, relevant cultural factors that might affect professional decision-making in a clinical mental health setting.",Mental Health Diagnosis and Treatment Planning,COUNSED 7200,None,Liberal Arts and Education,3
"Seminar Paper Research,A graduate faculty member serves as the seminar paper advisor and must sign a seminar paper proposal that is submitted at registration for Seminar Paper Research.",Seminar Paper Research,COUNSED 7920,None,Liberal Arts and Education,2
"Counseling Across the Lifespan,This graduate level course provides a broad understanding of the nature and needs of individuals at all developmental levels.   Normal and abnormal development for each life stage and developmental level will be examined within social and cultural contexts.   Students will be exposed to theories of personality; individual and family development and transitions; and learning theory.   Students will carefully examine theories and resources for facilitating optimal development and wellness across the lifespan.",Counseling Across the Lifespan,COUNSED 7240,None,Liberal Arts and Education,3
"Foundations of Clinical Mental Health Counseling,In this course, student will gain an understanding of the historical emergence of the field of mental health counseling and its evolution over time.  Students will examine foundational and emerging theories of change and models of wellness.  Studies will include the development of the principles of the mental health counseling field over time, including prevention, intervention, consultation, education, advocacy and the development of applicable networks that promote mental heath and well-being.  Students will gain an appreciation for the socio-cultural and ethical considerations that are central to the work of clinical mental health professionals today.",Foundations of Clinical Mental Health Counseling,COUNSED 7150,None,Liberal Arts and Education,3
"Abnormal Behavior and Psychopathology,This course includes an introduction to the major concepts and theories of psychopathology and the various methods of assessment and diagnosis for children, adolescents, and adults with mental and personality disorders.  Students will learn to use the Diagnostic and Statistical Manual of Mental Disorders (DSM) system and other considerations to determine diagnoses.  Various perspectives on emotional and personal distress, social-cultural factors, and client strength and resilience will be explored as part of the diagnostic process, while the benefits and risks of diagnosis will be examined.",Abnormal Behavior and Psychopathology,COUNSED 7420,None,Liberal Arts and Education,3
"Independent Study in Counseling,The total amount of credit allowed for independent studies may not exceed three credits except with the special permission of the program coordinator and the graduate director. Approval must be secured before independent study courses are begun. Students who register for independent study must submit at or before registration, descriptions of the subjects to be covered. These descriptions must be signed by the instructor overseeing the independent study. Independent study may not be used for collecting information for seminar papers or theses.",Independent Study in Counseling,COUNSED 7980,None,Liberal Arts and Education,1 - 3
"Thesis Research,The thesis may be an outgrowth of a research course (e.g. TEACHING 7000 Research Procedures) or may be developed independently within the program area. The thesis will report the results of original and independent student research on a given problem or topic, by systematic and impartial methods, and will demonstrate the student's ability to use techniques customarily employed in the particular field of investigation. Although a thesis for the master's degree may not always be expected to make a significant contribution to existing knowledge, it should be a scholarly document that is accurate, verifiable, objective, and impartial.  In consultation with the program advisor, the student proposes a committee of three faculty members. The committee normally includes the thesis advisor, one additional major department member, and one faculty member from another department. In some instances, a student may prefer a thesis advisor who is different from the program advisor assigned at the time of admission.  An approved thesis proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. (Thesis students will find the Texas A and M link useful for formatting procedures and other technical assistance.) The thesis advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Thesis Research,BIOLOGY 7990,None,"Bus, Inds, Life Sci, Ag",3 - 6
"Management, Gender and Race,(Offered under BUSADMIN 5340 and WOMGENDR 5340) This course reviews the changing nature of management and explains why gender and race/ethnicity have become important considerations in business. It examines the status of women and people of color in managerial or administrative positions and discusses socialization processes, stereotypes, equal employment opportunity laws, illegal harassment, and power in organizations. Networking, mentoring, work/life balance, and career planning also are addressed.","Management, Gender and Race",BUSADMIN 5340,WOMGENDR 5340,"Bus, Inds, Life Sci, Ag",3
"Legal Environment of Business,This is a study of the legal and ethical environment of business and its effects on business decisions. The course includes the substantive areas of contract law, tort, criminal law, government regulation, employment law, consumer protection, antitrust, environmental law, and securities law. We will also examine the ethical implications of legal disputes in business.",Legal Environment of Business,BUSADMIN 5130,None,"Bus, Inds, Life Sci, Ag",3
"Quality Management,Provides an understanding of the tools, language, and techniques used in the field of Quality Management (QM). The history of the quality movement, major tenets of the field, theorists and their philosophies, and the use of basic tools of Quality Management will be covered in this course. The course focus will be project-based in a team environment.",Quality Management,BUSADMIN 5540,None,"Bus, Inds, Life Sci, Ag",3
"Organizational Behavior,Organization, in and of themselves, do not behave, the people within them do.  This course will give students a comprehensive view of organizational theory and behavior by studying individual and group behaviors and how these interrelate with the organization's structure, systems, and goals.",Organizational Behavior,BUSADMIN 5530,None,"Bus, Inds, Life Sci, Ag",3
"Human Resource Management,An introduction to topics such as human resource planning, equal employment opportunity, selection, training and development, performance appraisal, compensation, safety and health, and employee and labor relations. The impact of laws and of societal and business trends on human resource functions is also presented. Each manager's role in dealing with human resources is emphasized.",Human Resource Management,BUSADMIN 5030,Not in BUSADMIN 3030,"Bus, Inds, Life Sci, Ag",3
"International Marketing,A conceptual focus on the breadth of the international marketing management area (i.e., problems, strategies and techniques), plus a survey background in such environmental factors as legal, cultural, economic, financial, and regional characteristics. The purpose is to prepare students and practicing business managers for successful operations in the world marketing environment of developing, industrial, and/or technological nations. P: A marketing course or consent of instructor.",International Marketing,BUSADMIN 5720,None,"Bus, Inds, Life Sci, Ag",3
"Supervised Independent Study,For advanced students who wish to further acquaint themselves with Spanish literature, civilization, or linguistics; thesis type report and examination; number of credits to be determined at the beginning of the course. By special permission.",Supervised Independent Study,SPANISH 6850,None,Liberal Arts and Education,1 - 4
"Employee Training and Development,Employee Training and Development is an upper-division course that examines the principles and practices of these two critical processes in a variety of organizational settings.  The course presents a comprehensive overview of training and development topics.  Throughout the course students acquire and then demonstrate a knowledge base in each of these areas.  At the end of the course, students are prepared to conduct efficient and effective training and development programs within the Human Resources department of an organization.",Employee Training and Development,BUSADMIN 5500,None,"Bus, Inds, Life Sci, Ag",3
"Purchasing Management,This course focuses on the managerial, administrative, strategic and tactical aspects of the purchasing function.  Emphasis will be placed on the pertinent issues in purchasing management for both goods and services business sectors.  The course will explore the managerial perspective of the core tasks and challenges required to effectively manage the purchasing function within the context of an integrated supply chain. P:  BUSADMIN 4100 or consent of instructor.",Purchasing Management,BUSADMIN 6160,None,"Bus, Inds, Life Sci, Ag",3
"Employee Recruitment and Selection,This course provides students with an understanding of these two critical processes in a variety of organizational settings. Throughout the course, students acquire and then demonstrate a knowledge base in each of these areas by completing various projects. At the end of the course, students are prepared to conduct efficient and effective recruiting and selection programs within the human resources department of organizations.  P: BUSADMIN 5030 or consent of instructor or department chair.",Employee Recruitment and Selection,BUSADMIN 6200,P: BUSADMIN 3030 or consent of instructor,"Bus, Inds, Life Sci, Ag",3
"Supply Chain Management,This course focuses on the principles and concepts of Supply Chain Management, as well as a review of the role of Supply Chain Management functions within an organization.  Analytical and evaluative skills are developed through critical examination of theories, models, tools and techniques employed.  Topics covered include Strategic Sourcing, Forecasting and Collaborative Planning, Inventory Management, Customer Relationship Management, and Service Response Logistics.  P: ECONOMIC 2410 or MATH 1830 or MATH 4030 or consent of instructor.",Supply Chain Management,BUSADMIN 6100,None,"Bus, Inds, Life Sci, Ag",3
"Consumer Behavior,Consumer behavior reaches for a better understanding of the consumer buying process.  It begins with an examination of basic, standard steps that consumers take while making a purchasing decision and moves into consumer motives based on various consumer cohorts.  The marketing student after having studied consumer behavior will have a stronger appreciation for the basis of consumer needs and will be better prepared to serve them.  P: Introductory marketing course or consent of instructor or department chair.",Consumer Behavior,BUSADMIN 5740,None,"Bus, Inds, Life Sci, Ag",3
