description,title,course,prerequisite,department,unit
"Introduction to Marketing,The study of marketing encompasses the activities involved in anticipating, managing, and satisfying demand via the exchange process.  Activities include environmental analysis, marketing research, consumer analysis, product planning, distribution planning, promotion planning, price planning, and marketing management.  The dynamic nature of marketing, the complex environment surrounding today's marketers, and various marketing functions, performers, and strategies are examined.",Introduction to Marketing,"Bus, Inds, Life Sci, Ag",None,Business Administration,3
"Employee Recruitment and Selection,This course provides students with an understanding of these two critical processes in a variety of organizational settings.  Throughout the course, students acquire and then demonstrate a knowledge base in each of these areas by completing a variety of projects.  At the end of the course, students are prepared to conduct efficient and effective recruiting and selection programs within the Human Resource department of the organization.",Employee Recruitment and Selection,"Bus, Inds, Life Sci, Ag",None,Business Administration,3
"Labor-Management Relations,Gives an overview of the process of labor relations, in which management deals with employees who are represented by a union.  The history of major labor unions and primary labor laws and court cases are covered, along with the general structure and operational aspects of today's labor organizations.  Union certification, collective bargaining, and dispute resolution are discussed in detail.  Students also participate in a mock labor contract negotiation project and analyze sample grievances.",Labor-Management Relations,"Bus, Inds, Life Sci, Ag",None,Business Administration,3
"Marketing Management,The determination of market policy; marketing administration and application of principles pertaining to management of marketing resources.",Marketing Management,"Bus, Inds, Life Sci, Ag",None,Business Administration,3
"Business Policy/Strategy,A comprehensive review and evaluation of strategic decision-making, critical thinking, reflection, and integration of the functional organizational areas of business processes through the analysis of case studies and related readings; development of external information scanning and synthesis using resources such as Internet and scholarly business publications.",Business Policy/Strategy,"Bus, Inds, Life Sci, Ag",None,Business Administration,3
"Special Problems,Supervised readings in specialized areas.",Special Problems,"Bus, Inds, Life Sci, Ag",None,Business Administration,1 - 4
"Special Topics,Specific contemporary or other business-related issues will be explored in depth.  Topics vary.",Special Topics,"Bus, Inds, Life Sci, Ag",None,Business Administration,1 - 4
"Internship,Extends the learning process by giving students a chance to apply their knowledge and skills on the job in an actual organization.  A 3-credit internship is required for the Business Administration major.  May be repeated for up to eight credits.  Graded on pass/fail basis.",Internship,"Bus, Inds, Life Sci, Ag",None,Business Administration,1 - 8
"Group Counseling,This course presents the theory and applied models of structured, developmental group counseling. The emphasis is placed on facilitating a gradual increase in problem-solving skills leading to wellness.",Group Counseling,COUNSPSY 4250,None,Liberal Arts and Education,3
"Measurement for Counselors and Educators,A study of assessment devices and procedures in the areas of interest, attitudes, intelligence and personality; plus discussion of the theoretical bases upon which such procedures and devices are founded.",Measurement for Counselors and Educators,Liberal Arts and Education,None,Counseling Psychology,1 - 3
"Predictive Analytics,A study of the history of prediction, quantitative efforts used to predict human behavior, its affect on society and culture and its use in all sectors of the economy. The areas of Big Data, Machine Learning, Artificial Intelligence and Cognitive Computing will be discussed.",Predictive Analytics,"Bus, Inds, Life Sci, Ag",None,Business Administration,3
"Purchasing Management,This course focuses on the managerial, administrative, strategic and tactical aspects of the purchasing function.  Emphasis will be placed on the pertinent issues in purchasing management for both goods and services business sectors.  The course will explore the managerial perspective of the core tasks and challenges required to effectively manage the purchasing function within the context of an integrated supply chain.",Purchasing Management,"Bus, Inds, Life Sci, Ag",None,Business Administration,3
"Introduction to Programming,An introduction to programming for students with no previous  computer programming experience.  Covers control structures, procedures, programming environments, and problem solving.",Introduction to Programming,COMPUTER 1130,None,"Engineering, Math and Science",3
"Programming in C++,A technical course in computing, algorithms, data representation, and procedural programming.  Modularity and abstraction stressed in algorithm development.  Style and documentation stressed in program development.  Weekly lab programs engrain the syntax and semantics of C++.  A few larger, out-of-class programs tie the concepts together.",Programming in C++,COMPUTER 1430,"P: previous programming experience, such as that provided by COMPUTER 1130 is recommended","Engineering, Math and Science",3
"Microsoft Excel for Business,Course Description: This course is designed to teach students basic to advanced functionality of Microsoft Excel. An emphasis is placed on working with larger data sets. Topics covered include but are not limited to:,
* simple to advanced formatting,
* simple to advanced formulas using relative and absolute cell referencing and Excel functions,
* business charts and pivot tables,
* sort and filter techniques used with tabular data,
* importing and exporting datasets",Microsoft Excel for Business,"Engineering, Math and Science",None,Computer Science,1
"Individual Study in Counselor Education,An opportunity for students to engage in deeper study of topics previously considered, to broaden themselves by pursuing areas not offered within other courses, or to engage in projects and experiences otherwise not available.",Individual Study in Counselor Education,Liberal Arts and Education,None,Counseling Psychology,1 - 3
"Professional Selling,A study of the principles, techniques, and practices involved in selling products, services, and ideas to final consumers and organizational buyers.  The selling processes used by manufacturers, distributors, and direct marketers are considered.  Changes in the selling environment due to global marketing and international sales are discussed. Several sales presentations are required.",Professional Selling,"Bus, Inds, Life Sci, Ag",None,Business Administration,3
"Programming in VB.NET,An introduction to event-driven, object-oriented programming techniques using Visual Basic in the .NET Framework.  Students will design, code, and debug Graphical User Interface (GUI) programs applicable to business applications.",Programming in VB.NET,"Engineering, Math and Science",None,Computer Science,3
"Object-Oriented Programming and Data Structures I,An introduction to object-oriented programming. Emphasis on building and testing classes using software engineering techniques.  Includes study of a standard class library and use of inheritance and polymorphism for building subclasses and extensibility.  Coverage of the stack and queue classical data structures.  Discussion of searching, sorting, and hashing techniques.  Introduction to linked lists.",Object-Oriented Programming and Data Structures I,COMPUTER 2430,P:  COMPUTER 1430 with a C- or better,"Engineering, Math and Science",3
"Microcomputer Applications,A course recommended for all non-computer science majors that need to know how to use the microcomputer. The major emphasis will be on using microcomputers with the most popular kinds of computer software used in business and education today including word processing, spreadsheets and database management.  (Not open to computer science majors.)",Microcomputer Applications,COMPUTER 1830,None,"Engineering, Math and Science",3
"International Marketing,A conceptual focus on the breadth of the international marketing management area including problems, strategies and techniques, plus a survey background in such environmental factors as legal, cultural, economic, financial, and regional characteristics. The purpose is to prepare students and practicing business managers for successful operations in the world marketing environment of developing, industrial, and/or technological nations.",International Marketing,"Bus, Inds, Life Sci, Ag",None,Business Administration,3
"Computer Science Special Topics,The subject matter and instructor for each instance of this class will be listed in the class schedule.  Students should  check with the instructor for details.",Computer Science Special Topics,"Engineering, Math and Science",None,Computer Science,1 - 3
"Introduction to Professional Counseling,The role of guidance in the educational process; historical, psychological, sociological and philosophical foundations of the guidance movement.",Introduction to Professional Counseling,Liberal Arts and Education,None,Counseling Psychology,3
"Employment Law,An analysis of employment relations legislation and its impact on areas of human resource management. Primary emphasis on employment discrimination and affirmative action, unemployment compensation, and workers compensation, the Fair Labor Standards Act, OSHA, and ERISA.",Employment Law,"Bus, Inds, Life Sci, Ag",None,Business Administration,3
"Windows Programming,Continuation of Windows programming techniques.  Discussion of the Component Object Model (COM), Dynamic Link Library (DLL), and the Windows Application Programming Interface (API).  Study also includes the Windows common controls, some Internet controls, and Dynamic HTML (DHTML).",Windows Programming,"Engineering, Math and Science",None,Computer Science,3
"Computer Architecture/Operating Systems,This course combines the strengths of two areas: Assembler Language Programming and Operating Systems. The major areas of Assembler such as Architecture, Data Types, Logic and Control and Interrupts will be covered. The major areas of Operating Systems including Processes, Mutual Exclusion, Critical Sections, Parallel Processing, Real and Virtual Storage and Job Scheduling will be emphasized.",Computer Architecture/Operating Systems,"Engineering, Math and Science",None,Computer Science,3
"Programming in COBOL,To develop an understanding of, and provide practice in the use of proper strategies and techniques for business program design and development. To develop ability to apply the COBOL language to implement problem solutions. To gain the background for further study of software design and computer programming in a business environment. Emphasis on structured programming and program style.",Programming in COBOL,"Engineering, Math and Science",None,Computer Science,3
"Database Design and Implementation,This course will explore fundamental concepts necessary for the design, use, and implementation of database systems. Study of database modeling and design, languages and facilities provided by the database management systems, and techniques for implementing database systems will be examined.  Major database models will be discussed with primary focus on the relational database model and query languages.",Database Design and Implementation,"Engineering, Math and Science",None,Computer Science,3
"Data Communications and Computer Networks,An introduction to data communications and computer networks. Study of the basic principles with a focus on the layers, protocols, and security used in the Internet.  Socket-based and other programming projects.",Data Communications and Computer Networks,"Engineering, Math and Science",None,Computer Science,3
"Introduction to Computer Security,An introduction to the principles of computer security. Topics include computer and system security, authentication, access control, malicious software, and software security. The course also examines how system designs, network protocols, and software engineering practices can result in vulnerabilities. The course explores how to design and implement systems to mitigate vulnerabilities. In addition, the course explores how to detect and mitigate vulnerabilities in existing systems.",Introduction to Computer Security,"Engineering, Math and Science",None,Computer Science,3
"Systems Development and Implementation,Strategies and techniques of analysis and design for producing logical methodologies for dealing with complexity in the development and implementation of information systems. Use of software tools, file access methods and operating system facilities.",Systems Development and Implementation,"Engineering, Math and Science",None,Computer Science,3
"Object-Oriented Programming and Data Structures II,Continuation of the object-oriented programming and data structure topics from CS 2430. Coverage of pointers, templates, linked lists, trees, recursion, graphs, and algorithm analysis. Use of software engineering techniques within a group-based project environment.",Object-Oriented Programming and Data Structures II,COMPUTER 2630,P:  COMPUTER 2430,"Engineering, Math and Science",3
"Computer Graphics,An introduction to computer graphics including transformations; modeling; viewing and projection; color, lighting and shading; texture mapping; interaction; and animation. Use of a pipeline-based graphics library such as OpenGL.  Several programming assignments, including some games-based projects.",Computer Graphics,"Engineering, Math and Science",None,Computer Science,3
"Programming Language Structures,A study of programming language topics which include data objects, data types, storage management, syntax, BNF descriptions, semantics, lexical analysis and  parsing.  Examples taken from traditional languages as well as more modern languages.",Programming Language Structures,"Engineering, Math and Science",None,Computer Science,3
"Special Topics in Computer Science,The subject matter and instructor for each instance of this class will be listed in the class schedule.  Students should check with the instructor for details.",Special Topics in Computer Science,COMPUTER 4830,P:  junior or senior standing,"Engineering, Math and Science",1 - 3
"Independent Study in Computer Science,For the student who wishes to delve more deeply into a specific area of study topics not available through the scheduled classes.",Independent Study in Computer Science,"Engineering, Math and Science",None,Computer Science,1 - 3
"Internship,Enhancement of the educational experience through specific work and observation with computers in a business, industry or institution. Prerequisites: upper-class standing,",Internship,"Engineering, Math and Science",None,Computer Science,1 - 6
"Financial Accounting,Introduction to accounting concepts and procedures including the accounting cycle, assets, liabilities, and financial statements.  Develops the ability to use accounting information for decision making.",Financial Accounting,"Bus, Inds, Life Sci, Ag",None,Accounting,3
"Management Accounting,Introduction to management accounting topics such as cost accounting, cost analysis, budgeting, and variance analysis.  Focuses on both procedures and the drawing of inferences from the results for more effective and efficient managerial decision making.",Management Accounting,"Bus, Inds, Life Sci, Ag",None,Accounting,3
"Intermediate Accounting I,Detailed coverage of the accounting cycle, financial statements, assets, and income determination. Emphasizes problem solving as well as conceptual understanding.",Intermediate Accounting I,"Bus, Inds, Life Sci, Ag",None,Accounting,3
"Intermediate Accounting II,Detailed coverage of liabilities, investments, corporate accounting, the statement of cash flows, and special topics such as pensions, leases, and accounting changes. Emphasizes problem solving as well as conceptual understanding.",Intermediate Accounting II,"Bus, Inds, Life Sci, Ag",None,Accounting,3
"Artificial Intelligence,A study of knowledge representation, search techniques, expert systems, predicate calculus, and natural languages. Discussion of the successes and limitations of past and current AI programs. Programming assignments in one or more AI programming languages.",Artificial Intelligence,"Engineering, Math and Science",None,Computer Science,3
"Seminar,The course consists of lectures/discussions presented by both computer science faculty and students enrolled in the class.",Seminar,"Engineering, Math and Science",None,Computer Science,1
"Accounting Information Systems,Concepts of systems evaluation and design, with emphasis on the role of the accounting information system in providing relevant and reliable information for management decision making and financial reporting.  Controls against errors and fraud are emphasized, as is the impact of technology.  Students will do a term project examining and critiquing the accounting information system of a real company or nonprofit organization.",Accounting Information Systems,"Bus, Inds, Life Sci, Ag",None,Accounting,3
"Bank Management,The purpose of the course is to analyze the issues involved in managing commercial banks and related financial institutions.  The theory and practice of bank management will be studied with particular emphasis on the topics of asset management, and capital adequacy.  Additionally, new dimensions in banking structure will be introduced.",Bank Management,"Bus, Inds, Life Sci, Ag",None,Business Administration,3
"Governmental and Not-for-Profit Accounting,This course is about fund accounting and comprehensive, government wide financial statements. Governmental and NonProfit accounting is quite similar to the financial accounting that you have studied thus far but differs with respect to its objectives and thus reporting. The accounting systems used to collect transaction information are very much like other entities accounting systems with the important exception that fund accounting segregates transactions by activity or program. Basically, there are six distinct fund types. Entities use these various types according to their operations/needs.",Governmental and Not-for-Profit Accounting,"Bus, Inds, Life Sci, Ag",None,Accounting,3
"Advanced Accounting I,An in-depth coverage of business acquisitions and preparation of consolidated financial statements, plus coverage of foreign currency accounting and governmental accounting.",Advanced Accounting I,"Bus, Inds, Life Sci, Ag",None,Accounting,3
"Federal Income Tax,Survey and practical application of federal income tax regulations and court rulings to individuals and sole proprietorships.",Federal Income Tax,"Bus, Inds, Life Sci, Ag",None,Accounting,3
"Advanced Taxation,A continuation of ACCTING 3040, covering advanced property transactions, special tax computations, corporations, partnerships, S corporations, and estate and gift taxation.",Advanced Taxation,"Bus, Inds, Life Sci, Ag",None,Accounting,3
"Advanced Cost Accounting,A continuation of ACCTING 3230. Emphasis on usage of accounting information in making decisions and performance evaluations; allocation of costs for different purposes; application of quantitative methods in accounting.",Advanced Cost Accounting,"Bus, Inds, Life Sci, Ag",None,Accounting,3
"Auditing I,Standards and procedures of external auditing, including a simulated audit.  Also emphasizes the auditor's decision-making process.",Auditing I,"Bus, Inds, Life Sci, Ag",None,Accounting,3
"Auditing II,Concepts, procedures, and auditor judgment in the areas of internal auditing and auditing for fraud.  Also includes several advanced topics of external auditing.",Auditing II,"Bus, Inds, Life Sci, Ag",None,Accounting,3
"Special Problems,Supervised study of selected accounting topics.",Special Problems,"Bus, Inds, Life Sci, Ag",None,Accounting,1 - 4
"Internship,Extends the learning process by giving students a chance to apply their knowledge and skills on the job in an actual organization.  Graded on a pass/fail basis.",Internship,"Bus, Inds, Life Sci, Ag",None,Accounting,1 - 8
"Applications in Information Systems,Applications of computer programming and system development concepts, principles and practices to a comprehensive system development project. A team approach is used to design and develop a realistic system of moderate complexity. Also includes coverage of advanced features of the COBOL language.",Applications in Information Systems,"Engineering, Math and Science",None,Computer Science,3
"Introduction to Economics,** available as of 09/03/2019,A study of economic systems and their interdependence in the global economy, with emphasis on problems and policies. Among the subjects included are competitive and non-competitive markets, gross domestic product determination and policy, the U.S. financial system, and global trade.","Introduction to Economics,** available as of 09/03/2019","Bus, Inds, Life Sci, Ag",Richland,Economics,3
"Principles of Macroeconomics,An introduction to basic economic principles with applications to current economic problems. Demand, supply and the role of prices in the U.S. economy are briefly surveyed followed by in-depth study of the national (or macro) economy. Topics include unemployment, inflation and economic growth; theories of economic recession and prosperity; the role of money and banking in the economy; government taxing and spending policies to stabilize the economy; and the U.S. as part of the international economy.",Principles of Macroeconomics,Social Sciences,Main Campus,ECONOMIC 2130,3
"Systems Analysis and Design,Provide an understanding of the duties of the systems analyst and the specific methods and techniques for system development (preliminary survey through system design) with an introduction to utilizing CASE software throughout the entire process.",Systems Analysis and Design,"Engineering, Math and Science",None,Computer Science,3
"The Political Economy of Race, Gender and Ethnicity,This course uses economic principles to analyze salient issues involving people of color, women, and ethnic minorities.  The focus is interdisciplinary, drawing from the fields of business, political science, and others.  Pertinent principles and concepts are used to analyze causes and effects of the changing composition of U.S. families, to examine the nature and extent of discrimination within the U.S. economy, and to understand why issues involving race, ethnicity, and gender are of concern to us both individually and collectively.","The Political Economy of Race, Gender and Ethnicity",Gender Studies,Main Campus,ECONOMIC 2940,3
"Economic History of The United States: The First Three Hundred Years,An introductory survey of the evolution of the market economy of the United States up World War I and of American thought concerned with the problems arising from such changes.",Economic History of The United States: The First Three Hundred Years,ECONOMIC 3530,P:  HISTORY 1330 and/or HISTORY 1430,"Bus, Inds, Life Sci, Ag",3
"Budgets and Budgetary Control,Theory and procedure of financial and operating budgets for managerial planning and controls.",Budgets and Budgetary Control,"Bus, Inds, Life Sci, Ag",None,Accounting,3
"Web Protocols, Technologies and Applications,The course will introduce the students to Protocols and Technologies in Web applications. The Client/Server concept and some advanced database concepts will also be covered. The emphasis of the course will be using tools such as  ASP.NET for rapid development of Web Applications and Web Services. JavaScript and C# will also be employed.","Web Protocols, Technologies and Applications","Engineering, Math and Science",None,Computer Science,3
"Public Finance,Topics include: government expenditures, programs and public services; principles and processes for collective decision- making; sources, principles and effects of taxes and other government revenues, and deficits, debts and budgeting in the public sector.",Public Finance,"Bus, Inds, Life Sci, Ag",POLISCI 3850,Economics,3
Economics Workshop,Economics Workshop,"Bus, Inds, Life Sci, Ag",None,Economics,1 - 3
"International Economics,A study of the major aspects of international trade, finance and commercial policy under changing world conditions. Subjects studied include various theories of international trade, effects of tariffs and quotas, exchange rate determination, balance of payments analysis and policy, international monetary systems, international economic institutions and current problems.",International Economics,"Bus, Inds, Life Sci, Ag",None,Economics,3
"Comparative Economic Systems,An analysis of various forms of capitalism and socialism, with special attention given to the economics of the United States, the Soviet Union, England, and others.",Comparative Economic Systems,"Bus, Inds, Life Sci, Ag",None,Economics,3
"Senior Seminar,Critical examination of select economic policy issues with active participation by Department of Economics faculty and other invited guests.",Senior Seminar,"Bus, Inds, Life Sci, Ag",None,Economics,3
"Interpretation of Business and Economic Data,The nature of statistical data in business and economics; the use of tabular, graphical and numerical analysis; probability, estimation and hypothesis testing; correlation and regression; index numbers, time series; and forecasting.",Interpretation of Business and Economic Data,ECONOMIC 2410,P:  Math 1630 or higher (3 credits),"Bus, Inds, Life Sci, Ag",3
"Foundations of Policing,The roles and functions of police in a democratic society, including their responsibilities for peacekeeping, law enforcement and service; the police as part of the criminal justice system and as agents of municipal government; models and styles of police behavior.",Foundations of Policing,Liberal Arts and Education,None,Criminal Justice,3
"Foundations of Corrections,The theories, philosophies and practices of corrections; sentencing structures and their relationship to correctional objectives; the modes of correctional intervention.",Foundations of Corrections,Liberal Arts and Education,None,Criminal Justice,3
"U S Courts and the Criminal Justice System,A detailed study of the adversarial system in the United States examining the history, tradition and philosophy underlying the system of justice as it is played out in the criminal courts, as well as administrative and civil courts.",U S Courts and the Criminal Justice System,Liberal Arts and Education,None,Criminal Justice,3
"Private Security Operations,A survey of the physical, personnel and informational aspects of the security field; concept of physical information and personnel security systems integrated with management systems; controls in regard to private, public and government owned complexes.",Private Security Operations,Liberal Arts and Education,None,Criminal Justice,3
"Principles of Microeconomics,An introduction to basic economic principles with applications to current economic problems. Emphasis is on understanding how households and business firms make decisions in the U.S. economy. Topics include how prices are determined and how they help solve the economic problem of scarcity, the distribution of income and wealth, problems of monopoly power, labor unions and labor problems, environmental and energy concerns, and agricultural economics.",Principles of Microeconomics,ECONOMIC 2230,None,"Bus, Inds, Life Sci, Ag",3
"Ethnicity, Race and Crime,A study of the correlation between ethnicity, race, crime and criminality in the United States.  This course explores the interrelatedness of ethnicity, race, criminal law, and the sanctioning of criminal behavior in the United States.","Ethnicity, Race and Crime",CRIMLJUS 2830,sophomore standing to enroll in this class,Liberal Arts and Education,3
"Introduction to Criminal Justice,A survey of the administration of Criminal justice, including the structural components of the criminal justice system and the stages of the criminal process from the detection of crime and arrest through prosecution, adjudication, sentencing and correctional intervention; emphasis upon analysis of decisions and practices within the context of the entire criminal justice system.",Introduction to Criminal Justice,CRIMLJUS 1130,None,Liberal Arts and Education,3
"Criminal Investigation,An introduction to the principles and procedures of criminal investigation, including the identification of physical and testimonial evidence, creation of hypotheses for the development of leads and documentation of findings.",Criminal Investigation,CRIMLJUS 3130,"P: CRIMLJUS 2130 with a ""C-"" or better and junior standing or junior standing and a Forensic Investigation Major",Liberal Arts and Education,3
"Comparative Criminal Justice Systems,Cultural bases of laws, development of laws, conceptions of justice and patterns of crime; comparison of American justice systems with other Western and Asian justice systems.",Comparative Criminal Justice Systems,Liberal Arts and Education,None,Criminal Justice,3
"Police Ethics,This course will focus on the ethical dilemmas and issues affecting policing. The course will address the philosophical styles of policing and the decision making process commonly used by police officers. Emphasis will placed on the societal effect of unethical police behavior and ways to detect and prevent these behaviors.",Police Ethics,Liberal Arts and Education,None,Criminal Justice,3
"Foundations of Interviewing,Examination of the principles of effective interviewing as applied to investigative reporting, research, persuasion, counseling, employment, and the investigation of crime.  The latter part of this course will pay particular attention to the theory and practice of interviewing and interrogation as applied to gaining information from complainants, witnesses, victims, informants, and suspects.",Foundations of Interviewing,Liberal Arts and Education,None,Criminal Justice,3
"Correctional Institutions,History, development and functions of correctional institutions including prisons and jails; their custodial and correctional programs; the impact of incarceration upon inmates; the interactional structure of the prison environment; improving conditions and correctional programs.",Correctional Institutions,Liberal Arts and Education,None,Criminal Justice,3
"Cost Accounting,Cost accounting systems for product costing along with accumulation of costs and their usage; application of accounting information for planning and control.",Cost Accounting,"Bus, Inds, Life Sci, Ag",None,Accounting,3
"Special Problems,Supervised reading on selected economic problems. Students may register for job orientation under this title. Appropriate forms must be filled out by students with approval of the instructor and the department chairperson.",Special Problems,"Bus, Inds, Life Sci, Ag",None,Economics,1 - 4
"Crime Prevention,An investigation of the prevention of crime utilizing changes in both the physical and social environment of the community.",Crime Prevention,Liberal Arts and Education,None,Criminal Justice,3
"Financial Statement Analysis & Business Valuation,The course is designed to prepare students to interpret, analyze, and evaluate the financial statements of an entity using various techniques.  The techniques and methods used while valuing a business are also covered in this course.  This course is especially useful for students who expect to be intensive users of financial statements as part of their professional career.  The entities subject to analysis will be public companies but the tools learned in this course will be equally applicable to private companies as well as to non-for-profit organizations.",Financial Statement Analysis & Business Valuation,"Bus, Inds, Life Sci, Ag",None,Accounting,3
"Money and Banking,A survey of the monetary and banking systems of the United States as part of the nation's overall financial system. Major topics include: organization and functioning of financial intermediaries; the key economic roles of lending institutions and the Federal Reserve System; contemporary monetary theories, international financial structures.",Money and Banking,"Bus, Inds, Life Sci, Ag",None,Economics,3
"Law of Corrections,The law pertaining to the effects and consequences of conviction, sentencing and prisoner rights; the legal process in terms of post-trial motions and appeals of conviction.",Law of Corrections,Liberal Arts and Education,None,Criminal Justice,3
"Police Administration,Principles of police administration and organization; detailed analysis of police administration such as budgeting, personnel management, implementation of programs toward fulfillment of objectives and decision making.",Police Administration,Liberal Arts and Education,None,Criminal Justice,3
"Community-Based Corrections,Community-based correctional programs; pre- and post-trial; a critical investigation of theories, practices and problems involved in pre-trial diversion, probation and parole.",Community-Based Corrections,Liberal Arts and Education,None,Criminal Justice,3
"Criminal Procedure and Evidence,A study of case law defining constitutional constraints on police behavior in the areas of arrest, search and seizure, interrogation, identification and investigation; rules on the exclusion of illegally seized evidence.",Criminal Procedure and Evidence,Liberal Arts and Education,None,Criminal Justice,3
"Issues in Criminal Justice Planning and Management,Problems confronting American criminal justice in the areas of criminal law, courts, law enforcement and corrections; models and alternatives for reforming the criminal justice process including program planning, development and management.",Issues in Criminal Justice Planning and Management,Liberal Arts and Education,None,Criminal Justice,3
"Police-Community Relations,Analysis of the interdependence of the police and community in maintaining order and controlling crime; theories of community and the community's role in the development of police systems; tension and conflict in police-community interaction; programs and strategies for improving the quality of police-community relations.",Police-Community Relations,Liberal Arts and Education,None,Criminal Justice,3
"Juvenile Justice,Conceptions of juvenile delinquency; the juvenile offender in the juvenile justice system; the philosophy, structure and function of juvenile courts; legal rights of accused juveniles, correctional theories, and programs in juvenile institutions; methods and models of rehabilitating juvenile offenders and prevention of juvenile delinquency.",Juvenile Justice,Liberal Arts and Education,None,Criminal Justice,3
"Social Work Practice with Communities, Organizations and Social Institutions,This course will prepare students to engage with, assess, intervene with, and evaluate social work organizations and communities. The purpose of this course is to address social work practices with communities, organizations and social institutions.  The National Association of Social Workers (NSAW) Code of ethics and the National Association of Social Workers (NASW) standards for cultural competence in social work practices will provide the guiding principles for social work values and ethics.  This course includes an analysis of social work theories and principles, their application to organizational, communal, and institutional settings, and specific techniques and methods appropriate to community organizing and development.","Social Work Practice with Communities, Organizations and Social Institutions",Liberal Arts and Education,None,Criminal Justice,3
"Social Welfare Policy,This course provides a basic conceptual framework for understanding and interpreting historical and contemporary social welfare policy proposals, methods, and alternatives to existing policies and programs such as those that impact at-risk and diverse populations.",Social Welfare Policy,Liberal Arts and Education,None,Criminal Justice,3
"Criminology,The legal and behavioral classification of crimes and criminals based on analysis of the criminal career of the offender, group support of the behavior, society's reaction and the response of the legal system; analysis of crimes as systems of behavior: property, violent, professional organized, victimless, white-collar, conventional and political crime.",Criminology,Liberal Arts and Education,None,Criminal Justice,3
"Victimology and Restorative Justice,This course focuses on the study of crime victims to include the nature, extent, and causes of crime.  Emphasis will be placed on examining the principles and concepts of victimology, victimization patterns and trends, and theoretical responses to criminal victimization.  Philosophies and principles of Restorative Justice will also be explored to include an analysis of the key player¿s roles- offender, victim, state, and community. Several restorative justice initiatives will be analyze. Students will participate in a restorative justice with a criminal justice organization.",Victimology and Restorative Justice,Liberal Arts and Education,None,Criminal Justice,3
"Research Methods in Criminal Justice,An introduction to research methods in criminal justice and criminology, with applications to both pure and applied research.  The course provides a basic conceptual framework for understanding and interpreting criminal justice research as well as designing, conducting, and evaluating research projects.",Research Methods in Criminal Justice,Liberal Arts and Education,None,Criminal Justice,3
"Current Topics In Criminal Justice,Current issues in criminal justice which may not warrant a permanent course. Course content will be announced each time the course is presented.",Current Topics In Criminal Justice,Liberal Arts and Education,None,Criminal Justice,1 - 3
"Substance Abuse I: Theory and Assessment,This course is designed to provide an overview of basic psychopharmacology, recreational drug use, substance abuse, and dependency.  Included in this approach will be coverage of addiction theory, prevention, and assessment.  Particular attention will be paid to risk and protective factors associated with abuse and dependency.",Substance Abuse I: Theory and Assessment,Liberal Arts and Education,PSYCHLGY 4840,Criminal Justice,3
"Criminal Justice Seminar,Discussion and evaluation of problems in the contemporary criminal justice system; individual research and presentation of findings.",Criminal Justice Seminar,Liberal Arts and Education,None,Criminal Justice,3
"Substance Abuse II: Intervention and Special Populations,This course is designed to provide an overview of the fundamental theories, principles, and techniques of substance abuse counseling.  In addition to gaining theoretical knowledge of recognized substance abuse counseling interventions, students will also practice these intervention skills in class.  Issues related to case management will be covered including treatment planning, goal setting, continual assessment, referral, record management, and written documentation.  Particular attention will be paid to addressing the application of these interventions and case management procedures to culturally diverse special populations.  Ethical issues related to substance use and professional responsibility will also be discussed.",Substance Abuse II: Intervention and Special Populations,Liberal Arts and Education,CRIMLJUS 4850,Psychology,3
"Internship,Enhancement of the educational experience through placement of a student with a governmental or private agency, emphasis place on integration of criminal justice theory and practice through field observations, practical experience, and extensive report writing, including submission of daily reports, administrative reports, and case reports.",Internship,Liberal Arts and Education,FORENSIC 4880,Criminal Justice,1 - 8
"Criminal Law,A study of the principles, doctrines and selected rules of criminal law; the sources of substantive criminal law and historical development of common law principles of criminal responsibility; constitutional constraints on the decision to define behavior as criminal.",Criminal Law,Liberal Arts and Education,None,Criminal Justice,3
"Art and Social Studies for Teachers,Focus on art in the classroom.  Children's development in art and uses of materials appropriate for children through elementary.  Assignments and projects will make use of the content of social studies and multiculturalism.",Art and Social Studies for Teachers,ART 1240,None,Liberal Arts and Education,3
"Art and Children's Literature for Teachers,Children's development in art from birth through elementary school level; basic theories and practice for presenting art understanding and activities in the classroom.  Using literature and illustration as the context for teaching art and teaching with art.  (Not for art majors)",Art and Children's Literature for Teachers,ART 1230,None,Liberal Arts and Education,3
"Painting I: Beginning Painting,Preparations for painting stressing the tools, techniques and principles of painting.",Painting I: Beginning Painting,Liberal Arts and Education,None,Art,3
"Basic Design I:  2-D,Introduction to the elements and fundamental concepts of two dimensional visual arts.",Basic Design I:  2-D,Liberal Arts and Education,None,Art,3
"Honors in Criminal Justice Research,The practical application of research to the criminal justice field. The student will design a complete research project within the framework of a tutorial relationship with a member of the criminal justice faculty.",Honors in Criminal Justice Research,Liberal Arts and Education,None,Criminal Justice,2 - 4
"Directed Individual Studies,Supervised individual study of a topic selected by the student with staff approval.",Directed Individual Studies,Liberal Arts and Education,FORENSIC 4500,Criminal Justice,1 - 3
"Women and the Law,A study of women in their legal roles as wives and mothers, workers and students, criminals and victims of crime. The course examines how the law affects women's personal choices regarding marriage, having children, and aiming for high-level achievements in education and in work.  Also examines ways in which law affects women in poverty and in old age.",Women and the Law,Social Sciences,Main Campus,CRIMLJUS 3730,3
