prerequisites,course,description,unit,title
None,AN SCI/​DY SCI/​FOOD SCI/​SOIL SCI  472,"
Fundamental business and economic principles and practices for successful poultry production with emphasis on problem solving in flock management. Software application core programs will be Microsoft Office for Windows suite. Enroll Info: ",1 credit.,ANIMAL AGRICULTURE AND GLOBAL SUSTAINABLE DEVELOPMENT
None,AN SCI/​DY SCI/​FOOD SCI/​SOIL SCI  473," or Poul Sci 101, Ag Econ 215 or ",2 ,INTERNATIONAL FIELD STUDY IN ANIMAL AGRICULTURE AND SUSTAINABLE DEVELOPMENT
None,AN SCI 503, or equivalent. Open to Freshmen,3 ,AVIAN PHYSIOLOGY
None,AN SCI 508,"
",3 ,POULTRY PRODUCTS TECHNOLOGY
None,AN SCI 511,"
Principal causes and identification of animal diseases, common diseases of farm animals, zoonoses and public health, disease prevention and management including biosecurity measures and host immune responses. Enroll Info: ",3 ,BREEDER FLOCK AND HATCHERY MANAGEMENT
None,AN SCI 512,/,3 ,MANAGEMENT FOR AVIAN HEALTH
None,AN SCI/​FOOD SCI  515,", ",2 ,COMMERCIAL MEAT PROCESSING
None,AN SCI/​F&W ECOL/​ZOOLOGY  520,", Biocore or cons inst",3 ,ORNITHOLOGY
None,AN SCI/​F&W ECOL/​ZOOLOGY  521,"
",3 ,BIRDS OF SOUTHERN WISCONSIN
None,AN SCI/​GENETICS  610,"
Food laws and regulations, regulatory and commerical grading standards used in the food industry. Enroll Info: Jr st or cons inst",3 ,QUANTITATIVE GENETICS
None,AN SCI/​AGRONOMY/​GENETICS/​HORT  615,"
",3 ,GENETIC MAPPING
None,AN SCI/​NUTR SCI  626,"
Examination of the structure and function of microbial communities that live inside and on host organisms (plants, animals, and humans). Introduction to general concepts of the microbiome and microbiota, and their relationship to host nutrition, health, and disease. Enroll Info: None",1 credit.,EXPERIMENTAL DIET DESIGN
None,AN SCI 681,"
",2-4 ,SENIOR HONOR THESIS
None,AN SCI 682,"
The molecular basis for inheritance of monogenic and polygenic traits related to animal disease and production. An introduction to the principles of improving animal health and performance by selection and mating systems in companion animals, horses, livestock, and poultry. Enroll Info: Genetics 160 or ",2-4 ,SENIOR HONORS THESIS
None,AN SCI 691, or con reg  course in statistics,2 ,THESIS
None,AN SCI 692,"
",2 ,THESIS
None,AN SCI 699,"
The genetic basis for predisposition to diseasse or resistance to disease in livestock and companion animal species. Genetic defects, their discovery, diagnosis and treament. Enroll Info: ",1-3 ,SPECIAL PROBLEMS
None,AN SCI/​FOOD SCI  710,; or Genetics 160 or ,2 ,CHEMISTRY OF THE FOOD LIPIDS
None,AN SCI 799,  Bot 152,1-3 ,PRACTICUM IN ANIMAL SCIENCES TEACHING
None,AN SCI/​DY SCI  824,"
",4 ,RUMINANT NUTRITIONAL PHYSIOLOGY I
None,AN SCI/​DY SCI  825,"
Application of the principles of quantitative genetics to the improvement of livestock and poultry; breeding value estimation and selection techniques; effects of inbreeding and hybrid vigor; crossbreeding systems. Enroll Info: ",4 ,RUMINANT NUTRITIONAL PHYSIOLOGY II
None,ASIAN 431,"
",3 ,INDIAN TRADITIONS IN THE MODERN AGE
None,ASIAN/​RELIG ST  460,"
Selected topics in the study of Asian Languages and Cultures. Enroll Info: None",3 ,CHINESE LINGUISTICS I
None,ASIAN/​RELIG ST  463,"
",3 ,THE HISTORY OF YOGA
None,ASIAN/​RELIG ST  505,"
Interdisciplinary approaches to specific social sciences topics in Asian studies. Topics may include comparative analysis of a theme across the countries in Asia or focus on a theme within a single country. Enroll Info: None",3 ,GODS AND GODDESSES OF SOUTH ASIA
None,ASIAN/​POLISCI  663,"
",3-4 ,"THE PERFECTIBLE BODY IN RELIGIONS, MEDICINES, AND POLITICS"
None,ASIAN 699,"
An extensive overview of the literature during Japan's early modern or Edo period (1600-1868). The main goal of the course is to introduce one of the world's great cultures through its literature during a period that many people consider to be the culmination of a millennium of cultural development prior to Japan's forced opening to the West in the second half of the nineteenth century. To this end we will read snippets from vastly popular works in the major genres of comic books, novellas, essays, poetry, kabuki and puppet plays and so on, concentrating on the eighteenth and nineteenth centuries. Some key questions in this course include: What is early modernity? What is literature? What is Japanese about these materials? Enroll Info: Not open to students with credit for E ASIAN 354 prior to Fall 2019",2-3 ,"SOUTH ASIA AND THE GLOBAL SYSTEM: ECONOMY, SECURITY & CULTURE"
None,ASIAN 700,"
",2-3 ,DIRECTED STUDY
None,ASIAN 815,"
Covers Japanese literature from the late nineteenth through the present century. Enroll Info: Not open to students with credit for E ASIAN 354 prior to Fall 2019.",3 ,TEACHING ASIAN LANGUAGES
PSYCH 450,ANTHRO 330,"
Survey of cultural anthropology with emphasis on ethnographic description, methodology, and contemporary theory. Course focuses on both humanistic and social scientific approaches to human sociocultural diversity. Enroll Info: None",3-4 ,THE EMERGENCE OF HUMAN CULTURE
ANTHRO/​AMER IND  314,ANTHRO 333,"
",3 ,THE ORIGINS OF CIVILIZATION
FOLKLORE/​ANTHRO  344,ANTHRO 337,"
Elementary theory and practical work in phonetics, phonology, morphology, and syntax, with attention to formal grammar. Enroll Info: Open to Fr. Stdts may not receive cr for both ",3 ,PEOPLES OF THE ANDES TODAY
FOLKLORE 100,ANTHRO 339,  301,3 ,TOPICS IN ETHNOLOGY
FOLKLORE 230,ANTHRO 340,"
",3 ,PREHISTORY OF AFRICA
FOLKLORE 320,ANTHRO/​RELIG ST  343,"
The evolution of the Hominoidea is reconstructed from direct and indirect evidence. Cladistic and phylogenetic analyses are used to study the relationships among species. Interpretations of the fossil record are presented from a historical perspective, focusing on the hominoid-hominid transition. Enroll Info: ",3-4 ,LITHICS AND ARCHAEOLOGY
ANTHRO 105,ANTHRO/​FOLKLORE  344, or 107,3 ,ARCHAEOLOGY OF WARFARE AND HUMAN NATURE
ZOOLOGY/​BIOLOGY/​BOTANY  152,ANTHRO 345,"
",3 ,"MUSIC, RACE, AND CULTURE IN BRAZIL"
ZOOLOGY/​BIOLOGY  101,ANTHRO 348,"
A comprehensive examination of skeletal anatomy at both the gross and histologic levels; methods for the archaeological identification of skeletal fragments; criteria for the estimation of age, sex, stature, and other aspects of forensic anthropology. Lecture and lab. Enroll Info: ",3-4 ,ANTHROPOLOGY OF RELIGION
BIOCORE 381,ANTHRO 350,", 107, or cons inst",3-4 ,ANTHROPOLOGICAL APPROACHES TO FOLKLORE
382,ANTHRO 352,"
",3 ,"FAMILY, KIN AND COMMUNITY IN ANTHROPOLOGICAL PERSPECTIVE"
ZOOLOGY/​BOTANY/​ENVIR ST  260,ANTHRO/​AMER IND  353,"
Cultural and ecological factors influencing the composition and structure of human population; expression and distribution of genetic characters within and between populations; racial differences, race formations; constitutional studies, mating systems and their genetic consequences. Enroll Info: None",3 ,ECONOMIC ANTHROPOLOGY
ZOOLOGY/​ENVIR ST/​F&W ECOL  360,ANTHRO/​AMER IND  354,"
",3 ,POLITICAL ANTHROPOLOGY
PSYCH 450,ANTHRO 357,"
An integrated anthropological view of the city and urbanization as a human and cultural phenomenon, including major theories and concrete data from both 'first', 'second' and 'third' worlds, emphasizing the continuity of urban development from the first cities until now. Enroll Info: ",3-4 , 
ANTHRO 458,ANTHRO 358, or 204 or cons inst,3 ,ANCIENT TECHNOLOGY AND INVENTION
PSYCH 450,ANTHRO/​LACIS  361,"
",4 , 
ZOOLOGY/​ENVIR ST/​F&W ECOL  360,ANTHRO/​LACIS  362,"
European prehistory from the earliest evidence of human occupation up to the threshold of the Classical Greek and Roman civilizations. Enroll Info: Anthro 112 or ",4 ,INDIANS OF THE WESTERN GREAT LAKES
ZOOLOGY/​ANTHRO/​BOTANY  410,ANTHRO/​LACIS  363, or Jr st or cons inst,4 , 
ZOOLOGY/​BOTANY/​F&W ECOL  460,ANTHRO/​LACIS  364,"
",4 ,ARCHAEOLOGY OF WISCONSIN
None,ANTHRO 365,"
Selected areas, periods or problems in archaeology. Enroll Info: Variable",3 ,INTRODUCTION TO THE ANTHROPOLOGY OF JAPAN
None,ANTHRO 369,"
",3-4 ,ANTHROPOLOGY OF CHINA
None,ANTHRO 370,"
Introduction to laboratory analysis with particular reference to artifactual and non-artifactual remains. Lectures cover methods and interpretation of results; laboratory involves application of methods to archaeological materials. Enroll Info: None",3-6 ,ELEMENTARY QUECHUA
326,ART 334,"
A low-enrollment course developing skills in critical reading, logical thinking, use of evidence, and use of library resources. Emphasis on writing in the conventions of specific fields. Enroll Info: None",3-4 ,LIFE DRAWING II
336,ART 336,"
",3-4 ,WOOD WORKING
DS 120,ART 338,"
Painting with watercolor and mixed media on paper. Experimental and traditional uses of the media will be explored, emphasizing drawing, composition, and imagination. Field trips. Enroll Info: None",2 ,SERIGRAPHY
ART 107,ART/​DANCE  341,"
",3 ,SERVICE LEARNING IN ART
ART 212,ART 342,"
Basic jewelry techniques; metal fabrication dealing with piercing, soldering, forming. Enroll Info: None",4 ,SOUND DESIGN FOR THE PERFORMING AND VISUAL ARTS
232,ART 343,"
",3-4 ,WATERCOLOR II
316,ART 344,"
Color phenomena and visual perception as applied in art problems. Lectures, readings in theory, philosophy, and history of design. Enroll Info: None",4 ,METAL FABRICATION AND WELDING IN SCULPTURE
326,ART 346,"
",4 ,ART METAL II
ART 214,ART 348,"
Woodcut, collage print, linoleum cut, and wood engraving; color printing. Studio practice, lectures, discussion, critiques. Enroll Info: None",4 ,BASIC GRAPHIC DESIGN
ART 107,ART 354,"
",4 ,INTRODUCTION TO DIGITAL PRINTMAKING
ART 100,ART 356,"
An introduction to the principles of computer coding in a visual context. Course emphasizes the production of graphical and interactive output delivered on a screen. Enroll Info: None",4 ,GLASSWORKING
108,ART/​THEATRE  366,"
",3-4 ,INTERMEDIATE TYPOGRAPHY
208,ART/​THEATRE  372,"
The exploration of conceptual drawing in various media. Emphasis on conceptual/formal solutions. Enroll Info: None",3 ,STAGE LIGHTING I
ART 222,ART 376,"
",3-4 ,SET DESIGN I
ART 224,ART 393,"
Continued investigation in sculpture studio practices with an emphasis on developing concepts and technique. Enroll Info: None",1 credit.,PHOTOGRAPHY
ART 102,ART 409,"
",4 ,INTERNSHIPS IN ART
112,ART 412,"
Direct drawing on stone with crayon and tusche, transfer techniques, color processes; studio practice, lectures, discussions, and critiques. Enroll Info: None",4 ,DIGITAL FABRICATION STUDIO
212,ART 414,"
",3 ,INTERMEDIATE DRAWING II
232,ART 422,"
An introduction to time-based art forms including video, installation, and visual art performance. Enroll Info: None",4 ,ART FOUNDRY
306,ART 428,"
",4 ,INTERMEDIATE PAINTING II
316,ART 429,"
Development of technical processes, concepts, historical continuity. Study and application of various media of oils, acrylics, collage materials. Enroll Info: None",4 ,DIGITAL IMAGING STUDIO
336,ART 438,"
",3 ,3D DIGITAL STUDIO I
ART 232,ART/​DANCE  441,"
Continued investigation into forming; hand-building, throwing, slip-casting, press molding; with emphasis on individual form concepts. Glazing, decorating, firing techniques including reduction, oxidation and primitive methods. Enroll Info: None",3 ,HISTORY OF GRAPHIC DESIGN AND TYPOGRAPHY
ART 104,ART 446,"
",4 ,ADVANCED SOUND DESIGN
112,ART 448,"
Introduction to intaglio printmaking techniques. Studio problems in platemaking and printing. Enroll Info: None",1-4 ,ARTISTS' BOOKS
212,ART 452,"
",4 ,SPECIAL TOPICS
214,ART 454,"
Survey of the use of the computer in art: history, artists' work, techniques, and the practical generation of computer-assisted imagery. Cons inst. Enroll Info: None",4 ,INTERMEDIATE PAINTING: NEW FIGURATION I
224,ART 456,"
",3 ,NEON: LIGHT AS SCULPTURE
None,AFROAMER 271,"
",3 , 
None,AFROAMER 272,"
Introduction to the history of African American theater and major African American playwrights and actors. Enroll Info: First yr stdts only",3 ,MASTERPIECES OF AFRICAN AMERICAN LITERATURE
None,AFROAMER/​HIST SCI/​MED HIST  275,"
",3 , 
None,AFROAMER/​AFRICAN/​ANTHRO/​GEOG/​HISTORY/​POLISCI/​SOC  277,"
Analysis of major works of African American fiction, drama, poetry and autobiography.  Attention given to historical, cultural and biographical contexts. Enroll Info: Open to Fr and So only",4 ,INTRODUCTION TO AFRO-AMERICAN HISTORY
None,AFROAMER/​AFRICAN/​HISTORY/​POLISCI  297,"
",4 , 
None,AFROAMER 302,"
Survey from the African beginnings to the present day. Focus on slave trade and slavery; major black figures of the past; social, economic, and political trends within the black community. Enroll Info: None",3 ,GLOBAL HIPHOP AND SOCIAL JUSTICE
None,AFROAMER 303,"
",3 ,INTRODUCTION TO AFRICAN ART AND ARCHITECTURE
None,AFROAMER/​DANCE/​MUSIC  318,"
Can HipHop culture help produce a more just world? If so, what theory and praxis best advance this aim? These are the questions that drive this conceptual course. Our critical interrogation of the relationship between HipHop and social justice considers the culture from its U.S. Black Power era underpinnings to its disparate contemporary ""glocal"" manifestations. We begin by asking what is ""HipHop,"" what is ""social justice,"" and what is their relationship, and proceed to consider how HipHop can be an effective force for social justice and what obstacles mitigate against this potential. These discussions will develop familiarity with important concepts in Black studies and social theory such as race and colonialism, imperialism and hegemony, structure and agency, identity and strategic essentialism. Weekly readings will typically pair writings specifically on HipHop with theory from across the humanities and social sciences including philosophy, sociology, cultural studies, and political economy. We will endeavor to consider the race/class/gender dimensions of our weekly topics. Students will acquire a broader familiarity with HipHop activism, and develop new conceptual tools and critical thinking skills. Enroll Info: None",3 , 
None,AFROAMER/​HISTORY  321,"
",3-4 ,INTRODUCTION TO AFRO-AMERICAN ART
None,AFROAMER/​HISTORY  322,"
This course examines the rich heritage of African arts and architecture as they shape and have been shaped by the histories and cultural values (social, political, religious, philosophical, and aesthetic) of African peoples, both past and present, on the continent where humanity began. It includes an historical overview of selected artistic traditions from different parts of the continent from 26,000 BCE to the 21st century and thematic/cultural case studies: artists and aesthetics; textiles, decorative, and personal/body arts; architecture; and individual artists. Enroll Info: None",3-4 ,LATIN AMERICA: AN INTRODUCTION
None,AFROAMER/​GEN&WS  323,"
",3 , 
None,AFROAMER/​GEN&WS  324,"
Historical survey of Afro-American art. Beginning with the African heritage and concluding with creativity of the 1970's, it examines the evolution of Afro-American art. Attention to the aesthetic sensibilities of diverse styles as well as the social significance of Black art within the art arena. Enroll Info: None",3 ,AFRICAN-AMERICAN AUTOBIOGRAPHY
None,AFROAMER/​GEN&WS  326,"
",3 , 
None,AFROAMER/​GEN&WS  333,"
Latin American culture and society from an interdisciplinary perspective; historical developments from pre-Columbian times to the present; political movements; economic problems; social change; ecology in tropical Latin America; legal systems; literature and the arts; cultural contrasts involving the US and Latin America; land reform; labor movements; capitalism, socialism, imperialism; mass media. Enroll Info: None",3 ,ARTISTIC/CULTURAL IMAGES OF BLACK WOMEN
None,AFROAMER 337,"
",3 , 
None,AFROAMER 338,"
Autobiographies of major Afro-Americans studied in depth to locate the constants and variables in the Black American experience. Focus on the variety of individual responses to conditions in the United States. Enroll Info: Freshman or Sophomore status for the honors offering",3 ,SELECTED TOPICS IN AFRICAN AMERICAN CULTURE
None,AFROAMER/​HISTORY  347,"
",3 , 
None,AFROAMER/​GEN&WS  367,"
Cultural images by and about Black women; feminine creativity in the arts within their historical, cultural, social, and political contexts. Enroll Info: Open to first year students",3 ,RACE AND AMERICAN POLITICS FROM THE NEW DEAL TO THE NEW RIGHT
None,AFROAMER/​HISTORY  393,"
",3-4 , 
None,AFROAMER/​MUSIC  400,"
Introductory level course on specific topics in African American culture. Enroll Info: None",3 ,"SCIENCE, MEDICINE, AND RACE: A HISTORY"
None,AFROAMER/​RELIG ST  404,"
",3 ,AFRICA: AN INTRODUCTORY SURVEY
None,AFROAMER/​AFRICAN  413,"
Survey of the decisive role played by race in American politics, 1932-present. Focus on origins and accomplishments of ""the Second Reconstruction""; Black Power and white backlash; contemporary racial politics and issues. Enroll Info: None",3-4 , 
None,AFROAMER/​ASIAN AM  443,"
",3 ,AFRICAN AND AFRICAN-AMERICAN LINKAGES: AN INTRODUCTION
None,AFROAMER 456,"
Surveys the medical and scientific constructions of categories of race, placing the development of racial theories in a broad social and political context. The course will pay particular attention to the importance of racial science in slavery and colonialism. Enroll Info: None",3 ,UNDERGRADUATE STUDIES IN AFRO-AMERICAN HISTORY
None,AFROAMER 469,"
",1-4 , 
None,AFROAMER 501,"
African society and culture, polity and economy in multidisciplinary perspectives from prehistory and ancient kingdoms through the colonial period to contemporary developments, including modern nationalism, economic development and changing social structure. Enroll Info: None",3 ,"BLACKS, FILM, AND SOCIETY"
None,AFROAMER/​MUSIC  509,"
",3 , 
None,AN SCI/​GENETICS/​POP HLTH  849,"
",3 ,GENETIC EPIDEMIOLOGY
None,AN SCI 875,"
Physical, biological and social nature of animal agriculture systems and their improvement in developing countries; analysis of the state of livestock research and development in the developing countries and the world role of U.S. animal agriculture. Enroll Info: ",1-4 ,SPECIAL TOPICS
None,AN SCI/​DY SCI  931, or cons inst,1 credit.,SEMINAR IN ANIMAL NUTRITION
None,AN SCI/​DY SCI  950,"
",1 credit.,SEMINAR IN ANIMAL GENOMICS
None,AN SCI/​DY SCI/​GENETICS  951,"
Students will develop an understanding of physiological processes that regulate the body, learn the anatomy and function of different physiological systems, describe interactions between organ systems, study regulation of an organ system from the molecular to whole animal level, and identify differences between species in the same systems. Enroll Info: None",0-1 ,SEMINAR IN ANIMAL BREEDING
None,AN SCI/​OBS&GYN/​ZOOLOGY  954,"
",0-1 ,SEMINAR IN ENDOCRINOLOGY-REPRODUCTIVE PHYSIOLOGY
None,AN SCI 990,"
Enroll Info: None",1-12 ,RESEARCH
None,ANTHRO/​LACIS  376,"
",4 ,ELEMENTARY QUECHUA
None,ANTHRO/​LACIS  377,"
Description and analysis of native cultures, and the role of environmental and historical factors in North America. Enroll Info: So st or cons inst",4 ,INTERMEDIATE QUECHUA
None,ANTHRO 391,"
",3 ,ADVANCED QUECHUA
None,ANTHRO/​BOTANY/​ZOOLOGY  410,"
Worldwide archaeological evidence for the development of human culture and behavior from the earliest appearance of human groups to the threshold of the agricultural revolution. Enroll Info: Prior crse in archaeology, So st, or cons inst",3 ,MEDICAL ANTHROPOLOGY
None,ANTHRO 411,"
",3 ,PEOPLES AND CULTURES OF CENTRAL AND EASTERN EUROPE
None,ANTHRO 415,"
Global archaeological survey of the origins of pristine civilizations beginning with the development of food production and ending with the emergence of the world's first civilizations. Focus of attention: Near East, Egypt, the Indus Valley, North China, Mesoamerica, and Peru. Enroll Info: None",3 ,FIELD COURSE IN ARCHAEOLOGY
None,ANTHRO 420,"
",3 ,FIRST SEMESTER YUCATEC MAYA
None,ANTHRO 424,"
Modern Quechua and Aymara-speaking peoples in Ecuador, Peru, and Bolivia: high-altitude herding and farming; Andean models for social organization; land-centered belief and ritual; ethnic discrimination and responses to it; transformations of the Andean cultures in urban and mining settings. Enroll Info: Jr st or cons inst",3 ,SECOND SEMESTER YUCATEC MAYA
None,ANTHRO/​LINGUIS  430,"
",3-4 ,BONES FOR THE ARCHAEOLOGIST
None,ANTHRO/​AMER IND/​FOLKLORE  431,"
Content varies. Some representative topics: peoples and cultures of the European part of the USSR, peoples and cultures of Soviet Asia, anthropology of space and time, anthropology and history, pastoralists and pastoral Nomads, American Indian folklore, etc. Enroll Info: Intro crse in cult anthro or cons inst",3 ,EVOLUTIONARY BIOLOGY
None,ANTHRO/​AMER IND/​FOLKLORE/​GEN&WS  437,"
",3 ,"THE EVOLUTION OF THE GENUS, HOMO"
None,ANTHRO/​GEN&WS  443,"
A survey of the archaeological record of human development in Africa, beginning over two million years ago and continuing through the transition to farming and metallurgy; greatest emphasis on the stone age portion of prehistory. Enroll Info: Anthro 112 or ",3 ,THE ANTHROPOLOGICAL STUDY OF CHILDREN & YOUTH
None,ANTHRO 448, or cons inst,3 ,INTRODUCTION TO PRIMATOLOGICAL RESEARCH
None,ANTHRO 453,"
",1-6 ,HISTORICAL ANTHROPOLOGY
None,ANTHRO 454,"
Explores the ways in which humans have used of rocks and associated minerals, i.e. lithics and lapidary technology, to create utilitarian as well as ornamental objects in the past and the present. Stone tools, stone beads, carved stone images and reliefs have been recovered in the archaeological record provide a unique perspective on the ways in which humans have adapted in the past. It will also explore gender roles in lithic technology and how specific technologies were used to create utilitarian as well as ornamental and symbolic objects. The archaeological examples will be studied through readings, films and class discussion, as well as laboratory experiments in the manufacture and examination of a wide range of artifacts. Ethnographic and archaeological examples of chipped and ground stone tools, stone beads, carved soft and hard stone seals, and stone vessels will also be examined. Students will gain a new perspective of the critical role of lithic technologies in long term human adaptive strategies as well as in ornament and symbolic art. Enroll Info: None",1-6 ,LANGUAGE AND CULTURE
None,ANTHRO 455,"
",1-6 , 
None,ANTHRO 456,"
Introduces students to the evidence, debates, and theories related to violence and warfare in the human past, and how related behaviors are linked to the evolution of our species and modern manifestations of war. It highlights archaeological methods that recognize past warfare practices. Using case studies from the Pleistocene to the present, the course explores variations of warfare from all over the world. Students will become familiar with: 1) the highly variable nature of violence and warfare in different cultural settings; 2) the antiquity of warfare; 3) how violence has shaped human societies. Course materials will include perspectives from other fields. Historical and cross-cultural ethnographic research will be juxtaposed against archaeological cases to provide contextualized and data-rich examinations. Students will become prepared to critically evaluate arguments, claims, and interpretations made about war, peace, and human nature. Enroll Info: None",3-4 ,AMERICAN INDIAN FOLKLORE
None,ANTHRO 458,"
",3 , 
None,ANTHRO 460,"
Focuses on music's significant role in the formation and maintenance of Brazilian national identity. Students will learn how a variety of Brazilian individuals, groups, and institutions have contributed to popular and scholarly debates about Brazilian culture, identity, and forms of belonging. These discussions will be anchored to important themes in Brazil's recent history, present, and imagined future, such as cultural cannibalism (antropofagia), and racial hybridity (mestiçagem). Students will also gain insight into how Brazilian artists and their audiences have debated race and racism through expressive means by analyzing a variety of anthropological and ethnomusicological texts about Brazilian popular music, literature, and its most famous annual ritual, Carnival. Enroll Info: None",3 ,AMERICAN INDIAN WOMEN
None,ANTHRO/​AMER IND/​BOTANY  474,"
",3-4 ,ANTHROPOLOGY BY WOMEN
None,ANTHRO 477,"
Anthropological approaches. Illustrated by critical considerations of outstanding contributions. Selected religious systems; areal and topical comparative studies; religion as an ethnographic problem. Enroll Info: ",3 ,ANTHROPOLOGY OF LAW
None,ANTHRO 490, or cons inst,3 ,STUDY ABROAD: TOPICS IN ARCHAEOLOGY
244,ART 458,"
Further investigation into anatomical structure and intrinsic forms involved in drawing from different models. Development of concepts and technique. Enroll Info: None",4 ,ILLUSTRATION
354,ART 463,"
",4 ,GRAPHIC DESIGN FOR BRANDING AND IDENTITY
DS 220,ART 465,"
Exploration of wood as a medium for constructing creative and functional three-dimensional forms. Enroll Info: None",4 ,INFORMATION GRAPHICS
ART 102,ART 466,"
",4 ,GRAPHIC DESIGN FOR PACKAGING
112,ART 467,"
Materials and techniques of silk screen process; silk screen as a fine art form. Enroll Info: None",4 ,"PAPERMAKING: HISTORY, ELEMENTS AND TECHNIQUES"
212,ART 469,"
",1-4 ,GRAPHIC DESIGN FOR POSTERS
222,ART 470,"
Students discuss community-based practices in the field, and will work with a community partner in an art-related capacity. Enroll Info: None",3-4 ,INTERDISCIPLINARY STUDIES IN THE ARTS
232,ART 476,"
",4 ,SPECIAL TOPICS IN 4D ART
306,ART 506,"
Production of audio soundtracks to complement the work of artists. The relationship of sound and music to dance, video, film, computer art, and other interdisciplinary forms. Enroll Info: None",4 ,INTERMEDIATE PHOTOGRAPHY
316,ART 508,"
",1 credit.,ADVANCED RELIEF PRINTMAKING
326,ART 511,"
Continued investigations in watercolor and mixed media works on paper with goal of development of concepts and technical skill. Enroll Info: None",3-4 ,COLLOQUIUM IN ART
ART 242,ART 512,"
",4 ,ART PERFORMANCE
ART 214,ART 514,"
Reviews common welding and metal fabrication techniques available to artists, including various welding processes, brazing techniques, torch work, cutting devices, bending methods, and finishing techniques.  Mild steel will be the primary material of exploration. Enroll Info: None",4 ,ADVANCED DRAWING I
244,ART 516,"
",2-3 ,ADVANCED SCULPTURE WORKSHOP 1
ART 244,ART 518,"
Advanced jewelry techniques: exploration of centrifugal lost wax casting, forging, stone setting, and hollow construction. Enroll Info: None",4 ,ADVANCED LITHOGRAPHY
ART 102,ART 521,"
",4 ,ARTIST'S VIDEO
107,ART 522,"
Introduces students to the basic principles of graphic design. Students will develop an initial understanding of formal, conceptual, and technical aspects of the field. Emphasis will be given to the importance of working process, presentation and craftsmanship. Enroll Info: None",4 ,INSTALLATIONS AND ENVIRONMENTS
ART 102,ART 524,"
",4 ,ADVANCED PAINTING I
107,ART 525,"
Provides students with fundamental skills in combining had printed and digital output.  Hybrid print integrates laser plate, monoprint, collograph, stencil, stamping, and embossment with inkjet output.  Focuses on enhancement of digital output through integration of hand printed elements. Enroll Info: None",4 ,ADVANCED CERAMICS I
176,ART 526,"
",4 ,ADVANCED TYPOGRAPHY
306,ART 528,"
Glassworking toward a personal concept of material. Enroll Info: None",4 ,ADVANCED ETCHING/INTAGLIO
316,ART 529,"
",4 ,DIGITAL INTERACTIVE STUDIO
326,ART 531,"
Examines the design and organization of printed word and letterforms in combination with other graphic elements. Exploration of experimental typographic forms, interpretive design, and text and image relationships will be emphasized. This course can be taken concurrently with ",3-4 ,3D DIGITAL STUDIO II
336,ART 532, Enroll Info: None,4 ,SCREEN PERFORMANCE
346,ART 534,"
",4 ,ADVANCED LIFE DRAWING I
None,AFROAMER/​POLISCI  519,"
Analysis of retention of African elements in African-American oral, written, and material culture. Social, cultural, and political issues regarding race, self-definition, and self-determination in both Africa and North America will be examined. Enroll Info: None",3-4 ,CULTURAL CROSS CURRENTS: WEST AFRICAN DANCE/MUSIC IN THE AMERICAS
None,AFROAMER/​HDFS/​SOC WORK  521,"
",3 , 
None,AFROAMER/​HIST SCI/​MED HIST  523,"
In-depth treatment of a key theme in black historical studies. Enroll Info: None",3 ,AFRO-AMERICAN HISTORY SINCE 1900
None,AFROAMER 525,"
",3 , 
None,AFROAMER/​ED POL  567,"
Study of the interpretations of the Afro-American past conveyed via theatrical films and television; relationship to other images of blacks found throughout the popular culture; relationship to societal trends. Enroll Info: So st",3 ,AFRO-AMERICAN HISTORY TO 1900
None,AFROAMER 605,"
",3 , 
None,AFROAMER/​GEN&WS  624,"
The influence of traditional West African dance/music heritage in historical, artistic, social contexts in the development of new hybrid forms of music/dance created by cross-pollination of cultures of Africans, Europeans and indigenous peoples in the New World. Enroll Info: None",3 ,"GENDER, RACE AND CLASS: WOMEN IN U.S. HISTORY"
None,AFROAMER/​GEN&WS  625,"
",3 , 
None,AFROAMER/​HISTORY  628,"
Survey of African American history from 1900 to the present. Topics covered include segregation, the Civil Rights Movement, the political, social and cultural changes of the late 20th century, and the Obama presidency. Enroll Info: None",3 ,BLACK WOMEN IN AMERICA: RECONSTRUCTION TO THE PRESENT
None,AFROAMER 631,"
",3 , 
None,AFROAMER/​ART HIST  643,"
Survey of African American history from its roots in Africa to the end of the 19th century. Topics considered include the slave trade, the political and cultural practices of enslaved communities, forms of resistance, Reconstruction, and systems of segregation. Enroll Info: None",3 ,RACE AND GENDER IN POST-WORLD WAR II U.S. SOCIETY
None,AFROAMER 669,"
",1-4 , 
None,AFROAMER 671,"
Historical interplay of racism and sexism in the lives of Black and White women of different class backgrounds in the United States. Enroll Info: None",3 ,BLACK FEMINISMS
None,AFROAMER/​ENGL  672,"
",3 , 
None,AFROAMER 673,"
Explores African American women's experience from waning days of slavery to present. Topics include slavery, emancipation, reconstruction, segregation, migration, urban and rural poverty, civil rights, nationalism, feminism and sexual politics. Enroll Info: So st",3 ,THE HARLEM RENAISSANCE
None,AFROAMER/​ART  674,"
",3 , 
None,AFROAMER 675,"
Assesses how race and gender (as well as socio-economic status, age, sexuality, region, etc.) shaped the experiences and options of African Americans, especially women, in U.S. society from WW II to the present. Enroll Info: So st",3 ,THE BLACK ARTS MOVEMENT
None,AFROAMER/​GEN&WS  677,"
",3 , 
